産業,性別,総数(人),15〜19歳(人),20〜24歳(人),25〜29歳(人),30〜34歳(人),35〜39歳(人),40〜44歳(人),45〜49歳(人),50〜54歳(人),55〜59歳(人),60〜64歳(人),65〜69歳(人),70〜74歳(人),75歳以上(人)
情報通信業,男,18600,-,1000,2600,3300,2100,4000,2300,1100,600,900,300,200,300
"運輸業,郵便業",男,51400,100,400,2500,4700,8300,7300,5800,5300,4500,7000,3400,1600,500
"卸売業,小売業",男,108400,1500,9000,10100,11300,13200,12600,9100,8300,8800,10200,6400,3700,4100
"金融業,保険業",男,13100,-,300,1500,2000,1400,1500,1700,1100,1700,1300,300,100,200
"不動産業,物品賃貸業",男,14300,-,700,1000,1800,1100,1500,1000,300,500,3100,1700,500,1100
"学術研究,専門・技術サービス業",男,27900,-,800,3100,2800,3100,3200,3400,2300,2300,2900,2000,800,1200
"宿泊業,飲食サービス業",男,36900,2600,6400,4300,3100,4000,3300,2300,2300,2000,3800,1700,600,600
"生活関連サービス業,娯楽業",男,21400,600,1400,2400,1600,1700,1200,1700,2200,1200,2600,1800,1400,1700
"教育,学習支援業",男,36600,700,3500,2700,2700,3000,3200,5000,4700,4100,3900,1900,800,400
"医療,福祉",男,39200,-,1600,3600,5800,6700,4200,2500,3500,3200,3500,2500,1200,1000
複合サービス事業,男,6800,-,200,500,300,1400,1100,900,1100,700,600,-,-,-
サービス業(他に分類されないもの),男,48700,200,2700,3100,3600,5200,5600,3900,4500,3800,7000,5200,2300,1800
公務(他に分類されるものを除く),男,34200,700,2800,4200,3300,2800,4700,4200,3800,4800,2100,400,200,100
分類不能の産業,男,39500,700,2300,3300,3300,4100,5000,3000,3700,4300,3300,3400,1300,1800
総数,女,566500,9500,48600,57800,53100,65400,64100,60900,53800,48400,51500,26200,12800,14300
"農業,林業",女,9100,-,-,100,400,400,400,500,1000,1000,1300,1000,800,2300
漁業,女,100,-,-,-,-,-,-,-,-,-,-,-,100,-
"鉱業,採石業,砂利採取業",女,-,-,-,-,-,-,-,-,-,-,-,-,-,-
建設業,女,11600,-,-,400,1300,1500,1000,1400,1400,1100,1900,700,300,500
製造業,女,70300,500,4300,6100,7200,8500,9800,7600,5600,6200,7900,3800,1500,1400
電気・ガス・熱供給・水道業,女,1000,-,100,100,-,400,100,100,100,100,-,-,-,-
情報通信業,女,7500,-,1200,1800,1400,1400,600,400,300,300,100,-,-,-
"運輸業,郵便業",女,11500,200,900,1900,1200,1300,1100,1600,1200,900,700,500,-,-
"卸売業,小売業",女,104000,1900,10400,9500,10000,10300,10400,12100,10500,10800,8900,4300,1900,3100
"金融業,保険業",女,15900,-,1300,2400,1400,1900,2100,3100,1400,1300,600,200,100,100
"不動産業,物品賃貸業",女,11500,-,400,900,400,700,1100,600,1000,1600,1700,700,900,1400
"学術研究,専門・技術サービス業",女,16100,-,800,1500,1500,3800,2500,1300,1600,1400,1100,-,100,600
"宿泊業,飲食サービス業",女,50600,4100,7400,2900,3100,5500,4600,4300,3200,5700,4200,2900,1400,1300
"生活関連サービス業,娯楽業",女,29100,300,2800,3100,1500,2500,3400,2200,3000,1900,3300,2400,1300,1500
"教育,学習支援業",女,46500,400,6000,6600,3600,5300,4900,5300,5500,3300,3400,1200,600,500
"医療,福祉",女,105700,500,7600,13900,12900,13200,11400,14000,11400,8800,7600,2700,1500,300
複合サービス事業,女,3500,-,100,400,900,500,600,300,400,100,100,100,-,-
サービス業(他に分類されないもの),女,28000,100,800,1800,2100,2700,4000,2400,2000,1600,5000,3400,1300,800
公務(他に分類されるものを除く),女,13800,900,1000,1800,1000,1600,1900,2200,1100,1000,900,300,100,-
分類不能の産業,女,30700,700,3600,2600,3300,4100,4200,1500,3200,1400,2800,2000,1000,600
