西暦,和暦,性別,年齢階級,企業規模別,産業計_年齢(歳),産業計_勤続年数(年),産業計_所定内実労働時間数(時間),産業計_超過実労働時間数(時間),産業計_きまって支給する現金給与額(千円),産業計_所定内給与額(千円),産業計_年間賞与その他特別給与額(千円),産業計_労働者数(十人),建設業_年齢(歳),建設業_勤続年数(年),建設業_所定内実労働時間数(時間),建設業_超過実労働時間数(時間),建設業_きまって支給する現金給与額(千円),建設業_所定内給与額(千円),建設業_年間賞与その他特別給与額(千円),建設業_労働者数(十人),製造業_年齢(歳),製造業_勤続年数(年),製造業_所定内実労働時間数(時間),製造業_超過実労働時間数(時間),製造業_きまって支給する現金給与額(千円),製造業_所定内給与額(千円),製造業_年間賞与その他特別給与額(千円),製造業_労働者数(十人),卸売業，小売業_年齢(歳),卸売業，小売業_勤続年数(年),卸売業，小売業_所定内実労働時間数(時間),卸売業，小売業_超過実労働時間数(時間),卸売業，小売業_きまって支給する現金給与額(千円),卸売業，小売業_所定内給与額(千円),卸売業，小売業_年間賞与その他特別給与額(千円),卸売業，小売業_労働者数(十人),金融業，保険業_年齢(歳),金融業，保険業_勤続年数(年),金融業，保険業_所定内実労働時間数(時間),金融業，保険業_超過実労働時間数(時間),金融業，保険業_きまって支給する現金給与額(千円),金融業，保険業_所定内給与額(千円),金融業，保険業_年間賞与その他特別給与額(千円),金融業，保険業_労働者数(十人),サービス業（他に分類されないもの）_年齢(歳),サービス業（他に分類されないもの）_勤続年数(年),サービス業（他に分類されないもの）_所定内実労働時間数(時間),サービス業（他に分類されないもの）_超過実労働時間数(時間),サービス業（他に分類されないもの）_きまって支給する現金給与額(千円),サービス業（他に分類されないもの）_所定内給与額(千円),サービス業（他に分類されないもの）_年間賞与その他特別給与額(千円),サービス業（他に分類されないもの）_労働者数(十人)
2014年,平成26年,女,総数,…,39.8,9.1,161,9,266.6,247.6,586.8,12802,45.1,11.6,173,7,258,248,291.6,154,40.1,11.5,163,10,253.7,235.7,653.4,2186,38.4,8.8,162,8,242.5,228.5,440.9,2062,40.4,11.3,148,14,298,269.4,868.1,859,42.8,6.3,159,7,214.4,202.6,279.3,838
2015年,平成27年,女,総数,…,40.4,8.8,161,7,272.6,256.4,656.2,14488,39.6,8.3,167,7,227,216,396.2,213,40.6,10.6,164,8,245.6,230.5,804.6,2357,39,9,164,6,230.8,220.5,418.7,1750,41.1,10.9,144,11,298.6,276.7,937.2,903,43.6,6.9,162,7,213.5,202.5,274.1,949
2015年,平成27年,女,〜19歳,…,19.1,0.8,168,8,178.1,165,71.1,63,19.5,0.5,168,14,180,157.7,300,8,19.1,0.7,165,7,184.2,164.2,59.9,12,19.1,0.9,180,5,168.7,163.4,0,12,18.7,0.7,156,6,178.9,169.3,33.4,7,-,-,-,-,-,-,-,-
2015年,平成27年,女,20〜24歳,…,23.1,1.8,166,8,217.5,203,347,1491,24.5,3.2,168,2,193.7,190.6,444.5,4,23.4,2,165,11,212.9,197,612.1,206,23.1,1.9,170,7,204.3,194,239.1,196,23.3,1.4,144,17,225.2,197.1,298.9,91,23.7,1.6,164,6,193,185.9,161.4,44
2015年,平成27年,女,25〜29歳,…,27.3,4.1,164,9,242.8,224.4,623.2,2031,27.6,5.4,165,2,200.4,197.8,388.4,39,27.4,4.4,166,9,231.5,214.1,881.8,339,27,3.6,164,11,243.1,223.8,467.5,232,27.6,4.8,145,18,261.4,229,1047.5,157,27.5,3.2,166,7,208.6,198.3,217.6,113
2015年,平成27年,女,30〜34歳,…,32.4,6.2,162,9,275.1,253.4,660.8,1863,32.4,5.9,166,4,217.5,209.6,463.9,34,32.5,6.6,168,10,248.6,229.8,730.9,304,32.5,6.1,164,7,228.3,218.1,431.2,277,32.4,8.1,141,14,293.9,262.2,1017.8,99,32.6,5,165,9,224.1,208.8,260.7,139
2015年,平成27年,女,35〜39歳,…,37.5,8.9,163,7,271.1,256,702.6,1928,37,8.3,168,11,251.6,234.4,243,36,37.5,11.2,166,10,257.4,238.3,1193.2,292,37.6,10.3,165,5,231.6,223.8,436.4,269,37.6,8.1,140,7,280.9,265.3,829.4,80,37.6,6.6,160,5,225.2,217.3,292.6,126
2015年,平成27年,女,40〜44歳,…,42.4,9.7,161,7,276.7,258.9,665.2,2092,42.4,14.4,178,11,244,227.1,756.1,26,42.6,11.1,162,7,250.9,235,756.8,402,42.4,10.7,160,6,241.2,231.8,512.2,255,42.8,13.3,142,12,310,281,1043.4,93,42.2,6.4,164,9,225.7,210.4,270.9,130
2015年,平成27年,女,45〜49歳,…,47.4,11.7,158,6,298.9,285.2,802,1563,47.3,11.3,170,16,274.3,246.2,883.8,13,47.6,14.2,157,7,258.4,244.6,992.3,262,47.4,12.9,164,4,240.6,233.1,503.9,201,47.3,14.4,143,6,321.9,307.3,1073.6,125,47.6,7.8,156,4,218,210.5,373.8,102
2015年,平成27年,女,50〜54歳,…,52.2,12.9,158,7,298,280.9,805.1,1434,51.4,4.8,173,7,239.3,228.8,118.5,29,52.4,15.6,165,5,264.5,253.9,805.2,239,52.5,16.2,163,7,271.7,259.5,565.5,118,52.3,15.3,146,8,330,309.3,1003.2,102,52,7.2,162,11,225,207.3,367.1,91
2015年,平成27年,女,55〜59歳,…,57.4,15.7,157,5,331.7,316.7,873.7,1000,57.6,14.1,146,2,202.1,199,263.8,22,57.4,20.7,161,5,255.9,245.6,676.2,159,57.6,13.6,164,5,226.1,218.9,217,84,56.9,19.8,144,6,378.1,364.3,1194.8,65,57.5,10.2,161,7,228.8,216,402,72
2015年,平成27年,女,60〜64歳,…,62.5,15,161,4,292.7,283.6,488.2,655,64.5,25.5,176,0,250.1,250.1,100,3,62.4,17.5,162,3,231.4,224.7,281.1,88,62.4,16.8,161,4,172.2,167.1,146.9,79,62.1,16.8,152,1,297.3,294.9,839.8,52,62.7,11.6,157,6,182.3,175.3,231.1,63
2015年,平成27年,女,65〜69歳,…,67.2,15.2,158,2,233.3,227.5,465.8,250,65.5,13.5,170,0,180,180,540,0,68.1,18,166,0,201.7,201.5,123.4,47,65.8,15.8,144,0,202.1,202,485.8,23,67.1,23.9,138,0,393.8,393.8,1086.2,23,67.4,10,159,1,156.6,155.7,83.3,53
2015年,平成27年,女,70歳〜,…,73.7,16.5,169,1,262.4,261.1,204.9,118,-,-,-,-,-,-,-,-,74.8,34.3,180,0,179.9,179.7,749.7,8,73.5,5.5,159,0,169.8,169.8,300,5,74.7,29.2,130,0,398.9,398.9,875.8,8,74.3,16.5,165,0,168.6,168.6,38.6,16
2015年,平成27年,女,…,10〜99人,41.2,8.5,167,5,239.4,229.7,421.3,4041,41.3,7.7,163,6,228.3,218.6,280.7,131,44,10.1,166,4,210.8,204.7,313.3,598,39.7,7.7,171,3,216.2,211.6,277.6,597,36.3,6.3,158,3,241.1,235.8,466.8,35,47.9,10.4,160,6,235.8,226.1,559.5,257
2015年,平成27年,女,…,100〜999人,40.6,8.2,161,7,275.3,259,670.8,6630,34.3,9.6,182,7,210.3,199.4,538.7,54,39.5,8.7,168,9,226.6,211.8,842.4,1141,36.6,7.4,163,8,226.9,214.1,432.6,612,33.5,8.8,156,4,277.5,267.4,852.8,18,44.2,5.9,160,5,191.6,183.2,193.8,464
2015年,平成27年,女,…,1000人以上,39.2,10.2,157,10,303.3,280.2,879.5,3817,42,8.8,157,9,254,236.2,666.2,28,39.5,14.7,155,11,314.1,290.1,1210.2,618,40.9,12.2,157,7,251.2,237.8,559,541,41.5,11.2,143,11,301.4,278.5,958.1,850,37.3,4.8,168,12,232.9,215.2,115.5,228
