西暦,和暦,種別,学校,科目,訓練期間,前年度からの繰越(人),定員(人),応募者数(人),入校者数(人),入校者の内訳_入校者の内訳_年齢別_19歳以下(人),入校者の内訳_年齢別_20〜29歳(人),入校者の内訳_年齢別_30〜44歳(人),入校者の内訳_年齢別_45〜59歳(人),入校者の内訳_年齢別_60歳以上(人),入校者の内訳_学歴別_中学卒(人),入校者の内訳_学歴別_高校卒(人),入校者の内訳_学歴別_短大卒(人),入校者の内訳_学歴別_大学卒(人),修了者数(人),修了者のうち就業した者_就業者(人),修了者のうち就業した者_他人雇用(人),修了者のうち就業した者_自営・家族従事者(人),修了者のうち就業した者_未就業者(人),修了者のうち就業した者_進学・その他(人),次年度への繰越(人)
2015年度,平成27年度,普通課程,府立京都高等技術専門校,建築科,1年,-,20,25,20,9,5,5,1,-,3,15,-,2,17,14,14,-,-,3,-
2015年度,平成27年度,短期課程,府立京都高等技術専門校,キャリア・プログラム科,1年,-,10,16,10,3,6,1,-,-,-,6,-,4,5,5,5,-,-,-,-
2015年度,平成27年度,…,府立陶工高等技術専門校,…,…,10,50,71,50,5,26,18,1,-,1,17,3,29,46,40,35,5,2,4,10
2015年度,平成27年度,普通課程,府立陶工高等技術専門校,やきもの成形科（成形コース）,1年,-,20,16,20,3,8,9,-,-,1,8,-,11,18,17,16,1,-,1,-
2015年度,平成27年度,普通課程,府立陶工高等技術専門校,やきもの成形科（総合コース）,2年,10,10,28,10,1,7,2,-,-,-,4,1,5,9,9,5,4,-,-,10
2015年度,平成27年度,普通課程,府立陶工高等技術専門校,やきもの図案科,1年,-,20,27,20,1,11,7,1,-,-,5,2,13,19,14,14,-,2,3,-
2015年度,平成27年度,…,府立福知山高等技術専門校,…,…,17,75,94,60,34,17,8,-,1,3,51,-,6,44,36,34,2,4,4,18
2015年度,平成27年度,普通課程,府立福知山高等技術専門校,自動車整備科,2年,17,20,35,20,9,9,2,-,-,-,16,-,4,16,16,15,1,-,-,18
2015年度,平成27年度,短期課程,府立福知山高等技術専門校,IT・経理科,1年,-,20,17,15,6,5,4,-,-,2,12,-,1,12,9,9,-,3,-,-
2015年度,平成27年度,短期課程,府立福知山高等技術専門校,ものづくり基礎科,1年,-,20,17,11,9,-,1,-,1,1,10,-,-,10,8,7,1,1,1,-
2015年度,平成27年度,短期課程,府立福知山高等技術専門校,総合実務科,1年,-,15,25,14,10,3,1,-,-,-,13,-,1,6,3,3,-,-,3,-
2015年度,平成27年度,…,府立京都障害者高等技術専門校,…,…,-,60,62,50,27,6,8,8,1,2,43,2,3,38,32,32,-,6,-,-
2015年度,平成27年度,短期課程,府立京都障害者高等技術専門校,OAビジネス科,6か月,-,30,26,21,-,4,8,8,1,1,15,2,3,20,14,14,-,6,-,-
2015年度,平成27年度,短期課程,府立京都障害者高等技術専門校,総合実務科,1年,-,20,27,20,18,2,-,-,-,1,19,-,-,11,11,11,-,-,-,-
2015年度,平成27年度,短期課程,府立城陽障害者高等技術専門校,紙器製造科,1年,-,10,9,9,9,-,-,-,-,-,9,-,-,7,7,7,-,-,-,-
2015年度,平成27年度,…,機構立校計,…,…,164,678,862,612,36,161,278,126,11,-,32,-,1,416,351,347,4,65,-,189
2015年度,平成27年度,…,京都職業能力開発短期大学校,…,…,17,65,48,42,30,7,3,2,-,-,32,-,1,23,22,22,-,1,-,29
2015年度,平成27年度,専門課程,京都職業能力開発短期大学校,生産技術科,2年,3,20,11,11,10,1,-,-,-,-,11,-,-,3,3,3,-,-,-,10
2015年度,平成27年度,専門課程,京都職業能力開発短期大学校,電子情報技術科,2年,7,20,16,12,11,1,-,-,-,-,12,-,-,7,7,7,-,-,-,11
2015年度,平成27年度,専門課程活用型デュアルシステム,京都職業能力開発短期大学校,情報通信サービス科,2年,7,15,11,10,9,-,1,-,-,-,9,-,1,6,6,6,-,-,-,8
2015年度,平成27年度,短期課程,京都職業能力開発短期大学校,CAD/CAM技術科,6か月,-,10,10,9,-,5,2,2,-,…,…,…,…,7,6,6,-,1,-,-
2015年度,平成27年度,…,京都職業能力開発促進センター,…,…,147,613,814,570,6,154,275,124,11,-,-,-,-,393,329,325,4,64,-,160
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,溶接施工技術科,6か月,-,30,34,30,-,9,17,3,1,…,…,…,…,17,15,15,-,2,-,-
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,CAD／CAM／NC科,6か月,24,120,136,117,2,42,55,17,1,…,…,…,…,93,66,66,-,27,-,28
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,機械加工技術科,6か月,10,-,-,-,-,-,-,-,-,…,…,…,…,9,9,9,-,-,-,-
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,機械設計CAD科,6か月,15,40,52,40,-,8,25,7,-,…,…,…,…,30,25,25,-,5,-,20
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,ビル設備サービス科,6か月,28,120,228,118,-,10,48,55,5,…,…,…,…,65,56,55,1,9,-,29
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,電気設備技術科,6か月,24,60,62,50,-,11,20,17,2,…,…,…,…,48,44,43,1,4,-,18
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,生産管理技術科,6か月,17,60,70,47,-,13,27,6,1,…,…,…,…,27,21,21,-,6,-,21
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,製造ライン技術科,6か月,12,48,72,47,-,13,23,10,1,…,…,…,…,24,22,21,1,2,-,16
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,組込みマイコン技術科,6か月,8,30,36,25,-,6,11,8,-,…,…,…,…,15,13,12,1,2,-,8
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,IT生産サポート科,6か月,-,15,43,15,-,3,11,1,-,…,…,…,…,10,8,8,-,2,-,-
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,若年者溶接施工技術科,6か月,9,30,26,26,2,14,10,-,-,…,…,…,…,16,14,14,-,2,-,12
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,若年者機械加工技術科,6か月,-,20,18,18,-,9,9,-,-,…,…,…,…,8,7,7,-,1,-,8
2015年度,平成27年度,短期課程,京都職業能力開発促進センター,若年者電気設備技術科,6か月,-,40,37,37,2,16,19,-,-,…,…,…,…,31,29,29,-,2,-,-
