死因,性別,2011年(人),2012年(人),2013年(人),2014年(人),2015年(人),2015年_0歳(人),2015年_1歳(人),2015年_2歳(人),2015年_3歳(人),2015年_4歳(人),2015年_0〜4歳(人),2015年_5〜9歳(人),2015年_10〜14歳(人),2015年_15〜19歳(人),2015年_20〜24歳(人),2015年_25〜29歳(人),2015年_30〜34歳(人),2015年_35〜39歳(人),2015年_40〜44歳(人),2015年_45〜49歳(人),2015年_50〜54歳(人),2015年_55〜59歳(人),2015年_60〜64歳(人),2015年_65〜69歳(人),2015年_70〜74歳(人),2015年_75〜79歳(人),2015年_80〜84歳(人),2015年_85〜89歳(人),2015年_90〜94歳(人),2015年_95〜99歳(人),2015年_100歳以上(人),2015年_不詳(人)
新生物_悪性新生物_直腸S状結腸移行部及び直腸,女,107,134,118,106,115,-,-,-,-,-,-,-,-,-,-,1,-,1,1,3,1,2,4,12,18,13,19,21,15,4,-,-
新生物_悪性新生物_肝及び肝内胆管,男,416,383,452,407,379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,11,17,45,64,72,88,59,15,2,-,-
新生物_悪性新生物_肝及び肝内胆管,女,235,228,243,224,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,4,14,30,28,61,47,25,4,-,-
新生物_悪性新生物_胆のう及びその他の胆道,男,153,147,178,163,187,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,6,11,27,25,34,41,27,9,3,-,-
新生物_悪性新生物_胆のう及びその他の胆道,女,181,185,201,177,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,6,15,16,23,42,44,26,13,3,-
新生物_悪性新生物_膵,男,305,295,360,325,363,-,-,-,-,-,-,-,-,-,-,-,1,2,6,3,8,15,32,53,61,56,73,39,13,1,-,-
新生物_悪性新生物_膵,女,318,343,302,358,340,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,6,7,18,47,45,53,55,46,43,8,5,-
新生物_悪性新生物_喉頭,男,17,14,19,25,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,5,3,3,2,1,-,-,-
新生物_悪性新生物_喉頭,女,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新生物_悪性新生物_気管，気管支及び肺,男,1105,1149,1163,1194,1125,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,16,20,69,158,195,197,218,171,58,10,-,-
新生物_悪性新生物_気管，気管支及び肺,女,465,499,478,470,492,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,5,12,18,47,67,79,94,86,57,19,3,-
新生物_悪性新生物_皮膚,男,13,17,8,20,14,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,1,-,2,2,2,3,-,-,-
新生物_悪性新生物_皮膚,女,20,18,24,25,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,4,3,2,3,-,-
新生物_悪性新生物_乳房,男,1,2,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
新生物_悪性新生物_乳房,女,260,265,268,299,263,-,-,-,-,-,-,-,-,-,-,-,4,3,7,13,18,19,26,35,32,36,28,22,17,3,-,-
新生物_悪性新生物_子宮,女,100,137,126,119,105,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,8,7,11,11,13,15,15,11,8,2,-,-
新生物_悪性新生物_卵巣,女,99,94,94,106,87,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,6,3,13,15,5,11,9,11,4,2,-,-
新生物_悪性新生物_前立腺,男,207,192,207,227,233,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,6,24,27,43,43,54,27,4,-,-
新生物_悪性新生物_膀胱,男,112,125,131,118,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,6,8,13,14,22,27,10,4,-,-
新生物_悪性新生物_膀胱,女,53,60,58,49,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,9,13,16,10,3,-,-
新生物_悪性新生物_中枢神経系,男,37,28,29,34,24,-,-,-,-,-,-,1,-,1,-,2,3,-,1,3,-,2,1,2,2,3,3,-,-,-,-,-
新生物_悪性新生物_中枢神経系,女,28,18,15,19,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,2,3,2,1,-,-,-,-
新生物_悪性新生物_悪性リンパ腫,男,114,118,126,156,132,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,5,7,11,17,25,32,23,6,3,-,-
新生物_悪性新生物_悪性リンパ腫,女,107,112,79,101,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,2,10,12,16,25,18,11,7,1,-
新生物_悪性新生物_白血病,男,75,95,76,81,73,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,5,3,13,17,12,14,4,-,1,-,-
新生物_悪性新生物_白血病,女,63,53,59,61,65,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,3,1,4,5,8,16,11,13,2,-,-,-
新生物_悪性新生物_その他のリンパ組織，造血組織及び関連組織,男,47,39,55,40,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,3,5,9,9,11,5,1,-,-
新生物_悪性新生物_その他のリンパ組織，造血組織及び関連組織,女,48,46,48,37,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,4,9,8,12,-,3,3,-,-
新生物_悪性新生物_その他の悪性新生物,男,255,273,282,305,293,-,-,-,-,-,-,-,-,-,-,1,-,-,2,3,3,4,29,47,36,43,61,39,22,3,-,-
新生物_悪性新生物_その他の悪性新生物,女,224,205,216,250,253,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,7,11,23,34,34,49,44,34,10,-,-
新生物_その他の新生物,男,104,118,99,103,103,1,-,-,-,-,1,-,-,-,-,-,-,1,2,1,2,3,5,14,13,12,27,10,11,1,-,-
新生物_その他の新生物,女,106,95,129,119,110,1,-,-,1,-,2,-,-,-,-,-,-,-,-,1,-,2,3,2,9,15,25,25,18,6,2,-
新生物_その他の新生物_中枢神経系のその他の新生物,男,17,29,23,22,18,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,2,1,2,1,2,4,3,-,-,-,-
新生物_その他の新生物_中枢神経系のその他の新生物,女,27,21,28,28,31,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,2,1,-,4,5,7,6,3,1,-,-
新生物_その他の新生物_中枢神経系を除くその他の新生物,男,87,89,76,81,85,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,1,4,12,12,10,23,7,11,1,-,-
新生物_その他の新生物_中枢神経系を除くその他の新生物,女,79,74,101,91,79,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,5,10,18,19,15,5,2,-
血液及び造血器の疾患並びに免疫機構の障害,男,43,46,41,47,45,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,5,1,7,10,16,3,-,1,-
血液及び造血器の疾患並びに免疫機構の障害,女,52,59,54,58,48,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,2,3,8,7,14,7,2,-
血液及び造血器の疾患並びに免疫機構の障害_貧血,男,9,12,11,26,15,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,1,3,4,3,-,1,-
血液及び造血器の疾患並びに免疫機構の障害_貧血,女,21,23,25,28,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,5,6,7,2,-
血液及び造血器の疾患並びに免疫機構の障害_その他の血液及び造血器の疾患並びに免疫機構の障害,男,34,34,30,21,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,6,7,12,-,-,-,-
血液及び造血器の疾患並びに免疫機構の障害_その他の血液及び造血器の疾患並びに免疫機構の障害,女,31,36,29,30,23,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,3,6,2,8,-,-,-
内分泌，栄養及び代謝疾患,男,197,200,179,194,173,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,6,5,18,21,24,43,27,15,9,1,-
内分泌，栄養及び代謝疾患,女,246,241,219,192,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,3,5,11,23,44,66,44,20,4,-
内分泌，栄養及び代謝疾患_糖尿病,男,128,144,124,143,118,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,5,3,11,19,17,28,19,9,4,-,-
内分泌，栄養及び代謝疾患_糖尿病,女,132,139,120,112,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,3,6,16,28,41,26,5,1,-
内分泌，栄養及び代謝疾患_その他の内分泌、栄養及び代謝疾患,男,69,56,55,51,55,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,7,2,7,15,8,6,5,1,-
内分泌，栄養及び代謝疾患_その他の内分泌、栄養及び代謝疾患,女,114,102,99,80,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,5,7,16,25,18,15,3,-
精神及び行動の障害,男,60,67,73,71,87,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,1,4,6,19,27,17,6,1,-
精神及び行動の障害,女,126,151,161,193,183,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,-,11,24,38,49,37,14,-
精神及び行動の障害_血管性及び詳細不明の認知症,男,43,54,63,47,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,16,25,15,6,1,-
精神及び行動の障害_血管性及び詳細不明の認知症,女,114,134,138,170,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,9,21,35,45,35,13,-
精神及び行動の障害_その他の精神及び行動の障害,男,17,13,10,24,17,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,1,2,1,3,2,2,-,-,-
精神及び行動の障害_その他の精神及び行動の障害,女,12,17,23,23,24,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,1,-,2,3,3,4,2,1,-
神経系の疾患,男,259,304,261,281,300,-,-,-,-,-,-,-,-,2,1,2,3,1,1,-,-,4,12,30,30,56,64,67,21,5,1,-
神経系の疾患,女,271,313,326,374,390,-,-,-,-,-,-,-,-,1,-,1,-,1,-,5,3,5,7,17,23,46,54,108,71,44,4,-
神経系の疾患_髄膜炎,男,5,2,3,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-
神経系の疾患_髄膜炎,女,4,2,2,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-
神経系の疾患_脊髄性筋萎縮症及び関連症候群,男,23,25,22,24,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,5,8,4,4,4,-,-,-,-
神経系の疾患_脊髄性筋萎縮症及び関連症候群,女,10,18,18,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,3,9,2,2,-,-,-,-
神経系の疾患_パーキンソン病,男,62,85,64,65,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,6,21,19,23,4,-,-,-
神経系の疾患_パーキンソン病,女,77,88,86,90,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,17,18,33,17,6,1,-
神経系の疾患_アルツハイマー病,男,37,58,61,70,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,9,15,18,9,4,-,-
神経系の疾患_アルツハイマー病,女,77,95,123,126,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6,19,47,44,32,3,-
神経系の疾患_その他の神経系の疾患,男,132,134,111,117,125,-,-,-,-,-,-,-,-,2,1,2,3,1,1,-,-,3,6,15,13,22,26,20,8,1,1,-
神経系の疾患_その他の神経系の疾患,女,103,110,97,129,114,-,-,-,-,-,-,-,-,1,-,1,-,1,-,4,2,4,6,9,16,14,14,26,10,6,-,-
眼及び付属器の疾患,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
眼及び付属器の疾患,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
耳及び乳様突起の疾患,男,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
耳及び乳様突起の疾患,女,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
循環器系の疾患,男,3171,3249,3124,3089,3210,-,-,1,-,-,1,1,-,2,3,4,5,6,37,51,57,64,152,277,346,471,633,639,312,127,22,-
循環器系の疾患,女,3812,3805,3710,3689,3666,2,-,-,-,-,2,-,1,-,-,1,3,4,8,17,32,27,54,119,159,307,575,799,912,488,158,-
循環器系の疾患_高血圧性疾患,男,41,36,31,24,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,6,4,7,3,2,-
循環器系の疾患_高血圧性疾患,女,61,58,66,60,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,8,12,26,11,2,-
循環器系の疾患_高血圧性疾患_高血圧性心疾患及び心腎疾患,男,23,14,11,8,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,2,2,2,1,-
循環器系の疾患_高血圧性疾患_高血圧性心疾患及び心腎疾患,女,30,36,35,35,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,6,9,14,5,-,-
循環器系の疾患_高血圧性疾患_その他の高血圧性疾患,男,18,22,20,16,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,5,1,1,-
循環器系の疾患_高血圧性疾患_その他の高血圧性疾患,女,31,22,31,25,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,12,6,2,-
循環器系の疾患_心疾患(高血圧症を除く),男,1936,1964,1895,1880,1999,-,-,1,-,-,1,1,-,2,3,4,1,3,17,29,41,44,100,185,232,298,375,376,191,82,14,-
循環器系の疾患_心疾患(高血圧症を除く),女,2365,2353,2234,2269,2299,2,-,-,-,-,2,-,1,-,-,-,1,4,4,10,19,15,32,75,97,178,359,502,564,323,113,-
循環器系の疾患_心疾患(高血圧症を除く)_慢性リウマチ性心疾患,男,12,17,9,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,4,5,1,-,-,-
循環器系の疾患_心疾患(高血圧症を除く)_慢性リウマチ性心疾患,女,32,32,32,25,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,7,7,6,4,1,-
循環器系の疾患_心疾患(高血圧症を除く)_急性心筋梗塞,男,367,332,324,295,299,-,-,-,-,-,-,-,-,1,-,1,-,-,2,6,5,15,15,28,39,55,52,43,25,10,2,-
循環器系の疾患_心疾患(高血圧症を除く)_急性心筋梗塞,女,334,282,256,253,261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,4,16,11,32,50,64,48,23,5,-
循環器系の疾患_心疾患(高血圧症を除く)_その他の虚血性心疾患,男,745,795,725,721,760,-,-,-,-,-,-,-,-,-,1,-,-,2,7,14,22,18,52,101,110,117,136,121,44,12,3,-
循環器系の疾患_心疾患(高血圧症を除く)_その他の虚血性心疾患,女,676,672,599,585,535,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,10,3,12,30,39,64,114,120,86,35,13,-
循環器系の疾患_心疾患(高血圧症を除く)_慢性非リウマチ性心内膜疾患,男,49,48,49,54,55,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,9,11,12,14,4,2,-
循環器系の疾患_心疾患(高血圧症を除く)_慢性非リウマチ性心内膜疾患,女,133,128,139,137,157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,3,5,15,56,47,22,7,-
循環器系の疾患_心疾患(高血圧症を除く)_心筋症,男,41,48,41,37,40,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,2,7,6,6,7,5,3,-,-,-
循環器系の疾患_心疾患(高血圧症を除く)_心筋症,女,31,35,19,41,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,2,2,5,7,3,-,3,-
循環器系の疾患_心疾患(高血圧症を除く)_不整脈及び伝導障害,男,155,172,177,150,182,-,-,-,-,-,-,-,-,-,-,3,-,-,1,4,4,1,7,12,18,21,35,46,17,11,2,-
循環器系の疾患_心疾患(高血圧症を除く)_不整脈及び伝導障害,女,210,209,255,234,246,1,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,3,-,5,10,14,35,50,68,46,12,-
循環器系の疾患_心疾患(高血圧症を除く)_心不全,男,517,513,534,576,609,-,-,-,-,-,-,-,-,1,1,-,1,1,3,4,8,6,23,34,50,79,124,140,84,45,5,-
循環器系の疾患_心疾患(高血圧症を除く)_心不全,女,902,959,903,956,1010,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,4,15,18,29,55,127,194,301,191,70,-
循環器系の疾患_心疾患(高血圧症を除く)_その他の心疾患,男,50,39,36,32,39,-,-,1,-,-,1,1,-,-,1,-,-,-,1,1,2,2,1,1,5,10,6,4,3,-,-,-
循環器系の疾患_心疾患(高血圧症を除く)_その他の心疾患,女,47,36,31,38,33,1,-,-,-,-,1,-,1,-,-,-,-,1,1,1,1,-,1,2,2,3,6,4,5,2,2,-
循環器系の疾患_脳血管疾患,男,963,1022,1006,976,982,-,-,-,-,-,-,-,-,-,-,-,2,1,18,18,12,15,46,78,98,138,202,220,92,37,5,-
循環器系の疾患_脳血管疾患,女,1162,1165,1185,1133,1102,-,-,-,-,-,-,-,-,-,-,1,1,-,4,7,11,10,18,31,45,102,172,244,287,129,40,-
循環器系の疾患_脳血管疾患_くも膜下出血,男,62,78,83,74,88,-,-,-,-,-,-,-,-,-,-,-,1,-,11,6,7,3,12,11,9,7,12,7,1,1,-,-
循環器系の疾患_脳血管疾患_くも膜下出血,女,133,140,125,134,123,-,-,-,-,-,-,-,-,-,-,-,1,-,2,6,3,3,5,7,14,20,16,27,15,4,-,-
循環器系の疾患_脳血管疾患_脳内出血,男,327,359,325,350,324,-,-,-,-,-,-,-,-,-,-,-,1,-,7,7,4,11,20,38,32,48,63,62,23,8,-,-
循環器系の疾患_脳血管疾患_脳内出血,女,289,322,296,320,295,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,8,6,10,12,12,46,65,63,50,15,4,-
循環器系の疾患_脳血管疾患_脳梗塞,男,543,552,562,518,529,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,1,1,9,26,51,77,122,144,61,28,4,-
循環器系の疾患_脳血管疾患_脳梗塞,女,701,659,732,635,641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8,13,31,83,146,215,106,36,-
循環器系の疾患_脳血管疾患_その他の脳血管疾患,男,31,33,36,34,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,3,6,6,5,7,7,-,1,-
循環器系の疾患_脳血管疾患_その他の脳血管疾患,女,39,44,32,44,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,6,5,8,8,7,4,-,-
循環器系の疾患_大動脈瘤及び解離,男,157,181,143,156,147,-,-,-,-,-,-,-,-,-,-,-,1,2,2,3,4,5,5,14,10,22,35,28,13,2,1,-
循環器系の疾患_大動脈瘤及び解離,女,140,147,152,142,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,9,12,15,31,25,17,9,1,-
循環器系の疾患_その他の循環器系の疾患,男,74,46,49,53,54,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,5,8,15,11,9,3,-,-
