分類,項目,単位,2015年平均,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月
家具・家事用品,家具・家事用品,(円),9489,15073,7619,7238,8513,6836,6931,8429,9442,8727,9170,10125,15765
家具・家事用品,家庭用耐久財,(円),2598,7403,1223,1275,1073,1185,1072,2497,2640,3064,2749,3063,3932
家具・家事用品,室内装備・装飾品,(円),821,1195,1254,589,1143,244,438,296,1008,307,1819,418,1145
家具・家事用品,寝具類 ,(円),807,1276,607,243,313,179,428,370,516,330,389,1146,3886
家具・家事用品,家事雑貨,(円),2105,2374,1793,1830,2414,2049,1869,1990,1968,1849,1377,2662,3086
家具・家事用品,家事用消耗品,(円),2658,2420,2379,2780,2944,2920,2788,2667,2619,2893,2231,2285,2968
家具・家事用品,家事サ−ビス,(円),500,404,364,521,627,260,335,609,691,284,604,550,748
被服及び履物,被服及び履物,(円),11012,17721,7498,13288,9505,11324,8626,10925,8839,9456,12075,10654,12234
被服及び履物,和服,(円),43,6,-,-,-,-,155,169,85,73,26,-,-
被服及び履物,洋服,(円),4357,9508,2964,6690,3014,3476,3304,3543,2816,4141,5116,3625,4089
被服及び履物,シャツ・セーター類,(円),2324,3164,1277,1829,2223,2342,2239,3139,2197,1736,2652,2687,2401
被服及び履物,下着類,(円),784,821,493,570,630,1033,618,855,707,535,836,830,1475
被服及び履物,生地・糸類,(円),103,17,113,178,58,49,47,66,80,95,65,77,393
被服及び履物,他の被服,(円),992,1488,784,930,766,879,575,1039,644,760,1023,1321,1695
被服及び履物,履物類,(円),1659,1281,1155,2057,1585,2314,952,1589,1944,1791,1856,1667,1715
被服及び履物,被服関連サ−ビス,(円),751,1437,713,1034,1230,1230,736,526,366,326,500,446,465
保健医療,保健医療,(円),11062,11969,13006,12471,9928,13309,9333,8618,10024,8579,14405,12333,8766
保健医療,医薬品,(円),2130,2115,2144,2613,1736,2176,2335,1871,2050,2216,2276,2338,1691
保健医療,健康保持用摂取品,(円),1203,1196,3604,1563,884,597,836,766,613,748,1435,1135,1064
保健医療,保健医療用品・器具,(円),2134,1509,1905,2537,1699,4452,1272,1217,1984,885,5765,1034,1344
保健医療,保健医療サ−ビス,(円),5595,7149,5353,5758,5609,6084,4890,4764,5377,4730,4930,7826,4666
交通・通信,交通・通信,(円),35950,35716,72948,27869,25450,28961,28620,25580,25041,49470,44690,32495,34561
交通・通信,交通,(円),7072,12429,6417,6059,6285,6680,6309,6932,6485,6013,7936,6435,6878
交通・通信,自動車等関係費,(円),17254,10620,55938,11415,7984,12952,9038,8650,7920,33625,25075,9648,14184
交通・通信,通信,(円),11624,12666,10593,10395,11180,9329,13273,9998,10636,9832,11679,16412,13498
教育,教育,(円),14521,14085,12722,16683,31370,18012,11475,8518,6488,17652,24666,3748,8837
教育,授業料等,(円),10094,9983,6531,4417,26914,13019,8430,4223,1365,14519,22540,2223,6964
教育,教科書・学習参考教材,(円),208,25,2,1000,648,149,50,126,66,215,126,-,93
教育,補習教育,(円),4219,4077,6189,11266,3808,4843,2995,4169,5057,2917,2001,1525,1781
教養娯楽,教養娯楽,(円),31827,29199,23776,40825,29675,41499,27025,31839,40599,30639,23053,28826,34969
教養娯楽,教養娯楽用耐久財,(円),1180,1422,2255,285,1022,737,2897,681,1521,800,264,2001,279
教養娯楽,教養娯楽用品,(円),6762,5744,4453,7122,7448,7105,7129,5590,8584,8274,4751,5489,9456
教養娯楽,書籍・他の印刷物,(円),3968,3919,3682,3803,3999,3574,3854,4129,4143,4041,3952,4330,4193
教養娯楽,教養娯楽サービス,(円),19916,18114,13386,29615,17206,30082,13145,21438,26351,17524,14086,17006,21040
その他の消費支出,その他の消費支出,(円),51681,67171,55328,65950,40360,43026,47306,39916,49387,53174,46443,45659,66447
その他の消費支出,諸雑費,(円),20826,23719,24727,23835,18912,20301,20641,19308,22614,16034,18901,16597,24322
その他の消費支出,こづかい（使途不明）,(円),8481,15019,10222,10206,7380,3386,5925,5958,7517,5938,8376,10605,11241
その他の消費支出,交際費,(円),20242,23598,17474,28628,11633,17843,19425,14390,18628,27406,15759,17984,30130
その他の消費支出,仕送り金,(円),2132,4835,2905,3281,2436,1496,1316,260,627,3796,3408,474,754
現物,現物総額,(円),6372,5791,5063,6209,6266,5746,4423,6790,6482,4404,3573,4745,16974
現物,食料,(円),5425,4684,4335,5220,5050,4427,3567,6207,5377,3977,3164,4222,14876
現物,住居,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
現物,光熱・水道,(円),1,-,-,-,-,-,-,-,-,-,-,17,-
現物,家具・家事用品,(円),223,202,310,458,213,116,229,386,114,25,8,135,485
現物,被服及び履物,(円),174,369,100,94,125,384,103,15,150,-,160,110,478
現物,保健医療,(円),13,2,-,-,5,-,37,-,-,31,20,37,23
現物,交通・通信,(円),111,6,6,-,495,236,-,-,418,-,-,-,177
現物,教育,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
現物,教養娯楽,(円),265,216,156,286,211,445,361,107,366,64,194,92,679
現物,その他の消費支出,(円),159,312,157,151,167,137,126,75,57,307,28,134,256
-,エンゲル係数,(％),28.5,24.4,24.7,26,29.4,28.1,30.8,33.2,30.7,27.5,27.9,30.8,30.6
