分類,項目,単位,2015年平均,2015年1月,2015年2月,2015年3月,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月
実収入以外の受取（繰入金を除く）,実収入以外の受取（繰入金を除く）,(円),430565,494309,622804,440688,450046,360492,366752,334996,332897,427386,462812,381946,491659
実収入以外の受取（繰入金を除く）,預貯金引出,(円),369895,403036,476174,375591,393226,318510,317934,293297,287493,376267,418953,341605,436655
実収入以外の受取（繰入金を除く）,保険金,(円),2185,13375,-,-,6860,-,-,-,-,-,3805,-,2182
実収入以外の受取（繰入金を除く）,有価証券売却,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
実収入以外の受取（繰入金を除く）,土地家屋借入金,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
実収入以外の受取（繰入金を除く）,他の借入金,(円),666,-,4157,-,-,-,-,3834,-,-,-,-,-
実収入以外の受取（繰入金を除く）,分割払購入借入金,(円),9294,36,95282,5,-,864,2845,-,-,8852,-,-,3640
実収入以外の受取（繰入金を除く）,一括払購入借入金,(円),47010,77829,46566,60904,44964,37066,41750,37865,45390,42268,40001,40341,49182
実収入以外の受取（繰入金を除く）,財産売却　,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
実収入以外の受取（繰入金を除く）,実収入以外の受取のその他,(円),1515,33,624,4187,4996,4051,4222,-,14,-,52,-,-
繰入金,繰入金,(円),71443,77465,84400,86074,83216,76247,64459,68449,58817,56087,71949,63439,66708
支払,支払,(円),997262,1033577,1220504,1015622,965336,818668,936625,918436,740609,851833,982552,918091,1565296
実支出,実支出,(円),424166,449133,540201,463749,455782,393689,373902,350286,330491,412596,448793,367766,503599
消費支出,消費支出,(円),335080,361839,441839,364794,343410,303915,279217,251818,280984,363023,382170,285035,362916
食料,食料,(円),82086,80817,81869,84598,81117,77432,72920,81173,84776,82393,82281,80110,95550
食料,穀類,(円),7091,7294,7647,7981,6989,6240,6578,6476,6121,6251,6714,7806,8995
食料,魚介類,(円),6024,6574,6135,5475,6186,4848,5051,5243,5084,5801,6112,6819,8963
食料,肉類,(円),8885,10733,9229,8801,8772,8543,7767,8648,8213,8545,8712,9298,9359
食料,乳卵類,(円),3696,3380,3848,3765,3643,3735,3579,3536,3479,3799,3917,3732,3936
食料,野菜・海藻　,(円),9319,10176,10539,9845,10301,9506,9597,8533,8371,9168,9074,8115,8606
食料,果物,(円),2417,2676,2369,2508,2232,2407,2421,2263,2070,2428,2914,2210,2504
食料,油脂・調味料,(円),3794,4163,4044,3916,3761,3556,3519,3676,2974,3303,3852,3621,5138
食料,菓子類,(円),5987,5367,5930,6340,5325,6026,5659,5605,5940,5335,6179,5980,8161
食料,調理食品,(円),9918,9243,9666,9960,9581,8895,8567,10962,10442,9837,10806,8370,12685
食料,飲料,(円),4008,3794,3380,4157,3436,4640,3673,4688,5045,3870,3838,3603,3975
食料,酒類,(円),3709,2633,3099,3526,3761,2939,3881,4153,3778,3356,4382,4825,4175
食料,外食,(円),17238,14784,15982,18325,17130,16097,12628,17389,23259,20701,15781,15731,19050
住居,住居,(円),10220,11235,11590,8564,9825,11616,14021,4110,6319,10388,10560,7127,17287
住居,家賃地代,(円),8451,9607,11106,7118,8136,8973,6855,3883,6303,6092,10307,7127,15910
住居,設備修繕・維持,(円),1769,1628,485,1446,1689,2643,7165,227,16,4296,253,-,1377
光熱・水道,光熱・水道,(円),24784,31262,36683,32111,30002,22285,20467,20167,19974,22070,18257,20883,23244
光熱・水道,電気代,(円),10306,13143,13685,13551,11140,8999,7159,7570,11393,11349,8510,8161,9007
光熱・水道,ガス代    ,(円),7721,12738,13289,13848,12742,9000,4974,5753,3414,2877,3574,4444,6002
光熱・水道,他の光熱,(円),222,827,357,261,7,-,-,-,8,9,30,273,888
光熱・水道,上下水道料,(円),6535,4554,9351,4451,6112,4287,8334,6844,5160,7836,6144,8005,7348
家具・家事用品,家具・家事用品,(円),9516,9366,9854,11167,11702,8694,9292,7300,8840,10181,5024,10683,12091
家具・家事用品,家庭用耐久財,(円),2051,1820,2184,2871,1417,2375,2189,1805,880,3620,-,2047,3407
家具・家事用品,室内装備・装飾品,(円),771,743,1097,1274,2343,84,290,237,1345,51,371,635,782
家具・家事用品,寝具類 ,(円),739,1435,1063,609,326,374,666,221,953,649,-,1221,1353
家具・家事用品,家事雑貨,(円),2323,1843,2462,2583,3208,2536,2419,1621,2230,1956,1537,2737,2749
家具・家事用品,家事用消耗品,(円),3061,3068,2559,3447,3263,3101,3158,2719,3254,3524,2456,2951,3235
家具・家事用品,家事サ−ビス,(円),570,457,489,384,1146,224,570,697,178,381,659,1093,565
被服及び履物,被服及び履物,(円),14519,19507,10293,16761,11307,12773,12553,13766,10955,13565,19535,15903,17311
被服及び履物,和服,(円),93,15,-,-,-,-,404,354,83,191,70,-,-
被服及び履物,洋服,(円),6440,10775,4440,8066,4179,3810,5462,5528,3356,7367,9988,7102,7200
被服及び履物,シャツ・セーター類,(円),2812,4094,1255,1937,3315,3217,2481,2790,2525,1993,4185,2868,3081
被服及び履物,下着類,(円),855,1049,808,736,473,941,477,977,1008,244,934,1071,1547
被服及び履物,生地・糸類,(円),56,16,221,130,29,3,27,11,49,76,32,20,57
被服及び履物,他の被服,(円),1295,1585,819,1356,796,926,815,1922,1015,1207,1106,1820,2176
被服及び履物,履物類,(円),2108,1321,2150,2736,1244,2027,1843,1478,2422,2151,2611,2619,2693
被服及び履物,被服関連サ−ビス,(円),860,652,599,1799,1271,1849,1045,705,497,335,608,402,556
保健医療,保健医療,(円),10327,19344,11853,12056,8883,12783,6526,6809,8200,8478,9920,12123,6949
保健医療,医薬品,(円),1953,2431,2532,2483,1822,2234,1679,1381,2026,1579,2054,2198,1019
保健医療,健康保持用摂取品,(円),595,2238,1588,614,200,128,404,337,194,397,472,273,293
保健医療,保健医療用品・器具,(円),2019,1715,2403,1687,928,2397,1568,1901,3066,1181,3862,1672,1852
保健医療,保健医療サ−ビス,(円),5760,12961,5330,7273,5933,8024,2875,3190,2914,5321,3532,7981,3786
交通・通信,交通・通信,(円),55633,57392,150680,38161,33380,41438,32964,29672,31853,90493,83719,36412,41434
交通・通信,交通,(円),10215,25347,5736,9397,9280,10343,9525,7818,8576,6800,11579,8782,9398
交通・通信,自動車等関係費,(円),31381,17634,133207,16864,11050,18681,8884,9074,8651,71393,55397,12159,13573
交通・通信,通信,(円),14037,14411,11737,11900,13050,12415,14554,12780,14626,12299,16742,15472,18463
教育,教育,(円),32692,28443,28062,38481,73643,41112,25194,16130,15998,28086,64830,10048,22283
教育,授業料等,(円),22657,21225,15225,10530,63191,30081,19056,6796,3040,19940,59220,5836,17744
教育,教科書・学習参考教材,(円),490,-,5,2460,1572,263,118,307,175,544,226,-,208
教育,補習教育,(円),9546,7218,12832,25491,8880,10768,6021,9028,12784,7602,5383,4212,4330
教養娯楽,教養娯楽,(円),36783,33227,34035,39841,42385,36893,31100,32531,45811,43027,25857,34305,42390
教養娯楽,教養娯楽用耐久財,(円),1726,1395,5242,706,2400,1467,2446,1087,3,412,455,4460,645
教養娯楽,教養娯楽用品,(円),8371,8757,6336,8689,10213,7103,8489,5417,5308,15484,5746,6416,12498
教養娯楽,書籍・他の印刷物,(円),3909,3767,3319,3928,4807,4251,3568,4441,4421,3232,2983,3835,4360
教養娯楽,教養娯楽サービス,(円),22776,19308,19137,26518,24965,24072,16597,21585,36079,23900,16674,19593,24888
その他の消費支出,その他の消費支出,(円),58519,71245,66920,83055,41166,38889,54181,40161,48258,54343,62188,57441,84378
その他の消費支出,諸雑費,(円),24620,24970,37481,30657,19910,20132,22202,21787,20603,17717,22660,21879,35448
その他の消費支出,こづかい（使途不明）,(円),12121,18359,11694,12121,4604,1349,5774,8894,11504,10326,17619,19757,23451
その他の消費支出,交際費,(円),17154,22552,11438,32899,11059,14032,22778,8949,14590,16407,12743,14496,23908
その他の消費支出,仕送り金,(円),4623,5363,6307,7377,5593,3376,3427,530,1561,9893,9167,1308,1572
非消費支出,非消費支出,(円),89086,87294,98362,98956,112372,89774,94685,98468,49507,49573,66623,82731,140682
非消費支出,直接税,(円),40110,44845,47057,46261,60493,52292,41827,44150,21266,17125,24775,36713,44517
非消費支出,勤労所得税,(円),14477,12322,17256,17839,15243,10220,17071,27587,4699,5734,7182,17776,20798
非消費支出,個人住民税,(円),17935,19300,27552,23311,19116,14473,21723,11728,15746,10782,15789,18937,16761
非消費支出,他の税,(円),7698,13223,2249,5111,26134,27598,3033,4835,820,609,1804,-,6958
非消費支出,社会保険料,(円),48830,41515,51305,51880,51879,37483,52859,54318,28241,32448,41847,46018,96165
非消費支出,他の非消費支出,(円),146,934,-,814,-,-,-,-,-,-,-,-,-
実支出以外の支払（繰越金を除く）,実支出以外の支払（繰越金を除く）,(円),508747,529039,606521,474567,440519,376829,500977,506688,353450,385752,471850,484300,974469
実支出以外の支払（繰越金を除く）,預貯金,(円),402295,390406,404284,388227,351842,303956,416840,405552,276890,295919,372168,376281,845178
実支出以外の支払（繰越金を除く）,保険料,(円),17325,19636,26770,14051,12909,12506,14317,12419,9809,16518,17533,22360,29066
実支出以外の支払（繰越金を除く）,有価証券購入,(円),400,965,722,715,924,652,-,-,-,287,-,-,536
実支出以外の支払（繰越金を除く）,土地家屋借金返済,(円),38279,46650,34974,31751,32390,27801,37175,50291,37030,36013,42536,39754,42976
実支出以外の支払（繰越金を除く）,他の借金返済,(円),1870,14613,-,-,547,2000,798,-,305,-,871,1591,1716
実支出以外の支払（繰越金を除く）,分割払購入借入金返済,(円),10310,7665,90436,1237,3875,1896,3338,3217,2422,2911,2142,2272,2309
実支出以外の支払（繰越金を除く）,一括払購入借入金返済,(円),37725,48040,48199,38286,37497,27720,27797,35184,26993,34104,35925,41909,51044
実支出以外の支払（繰越金を除く）,財産購入,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
実支出以外の支払（繰越金を除く）,実支出以外の支払のその他,(円),544,1063,1136,302,536,297,713,26,-,-,675,133,1644
繰越金,繰越金,(円),64350,55406,73783,77305,69035,48150,61746,61462,56669,53485,61909,66025,87228
現物,現物総額,(円),5968,6876,6264,5650,7613,6200,4068,4804,7910,4389,4357,3635,9849
現物,勤め先収入,(円),151,25,-,-,1200,-,-,93,208,-,189,100,-
現物,自家産物,(円),182,-,-,-,-,248,546,56,29,229,444,464,161
現物,その他,(円),5635,6851,6264,5650,6412,5952,3523,4655,7673,4160,3723,3071,9688
現物,現物総額,(円),5968,6876,6264,5650,7613,6200,4068,4804,7910,4389,4357,3635,9849
現物,食料,(円),4798,4748,5645,5236,5468,4796,3628,4019,6132,3701,3879,3015,7312
現物,住居,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
現物,光熱・水道,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
現物,家具・家事用品,(円),182,314,125,26,320,180,147,570,119,-,-,211,175
現物,被服及び履物,(円),250,897,-,13,303,430,27,37,58,-,389,243,608
現物,保健医療,(円),14,5,-,-,-,-,96,-,-,-,32,34,-
現物,交通・通信,(円),255,13,-,-,1200,587,-,-,1114,-,-,-,149
現物,教育,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
現物,教養娯楽,(円),284,478,248,326,155,194,164,170,487,-,56,133,993
現物,その他の消費支出,(円),184,420,246,49,166,13,6,8,-,688,-,-,611
-,可処分所得,(円),406169,374508,414939,389904,319701,292155,410729,416523,299389,318786,381168,389975,866246
-,黒字,(円),71089,12670,-26900,25110,-23709,-11759,131512,164706,18404,-44236,-1002,104940,503330
-,金融資産純増,(円),47940,-5404,-44399,27401,-34411,-1396,113223,124675,-794,-63543,-33057,57035,435944
-,貯蓄純増,(円),47540,-6369,-45120,26686,-35335,-2048,113223,124675,-794,-63830,-33057,57035,435408
-,預貯金純増,(円),32400,-12630,-71890,12636,-41384,-14554,98906,112256,-10603,-80348,-46785,34675,408524
-,保険純増,(円),15139,6261,26770,14051,6049,12506,14317,12419,9809,16518,13728,22360,26885
-,有価証券純購入,(円),400,965,722,715,924,652,-,-,-,287,-,-,536
-,土地家屋借金純減,(円),38279,46650,34974,31751,32390,27801,37175,50291,37030,36013,42536,39754,42976
-,他の借金純減,(円),1204,14613,-4157,-,547,2000,798,-3834,305,-,871,1591,1716
-,分割払購入借入金純減,(円),1016,7629,-4846,1231,3875,1032,492,3217,2422,-5941,2142,2272,-1332
-,一括払購入借入金純減,(円),-9286,-29788,1633,-22619,-7467,-9345,-13954,-2681,-18397,-8164,-4076,1569,1862
-,財産純増,(円),-,-,-,-,-,-,-,-,-,-,-,-,-
-,その他の純増,(円),-971,1030,512,-3885,-4460,-3754,-3509,26,-14,-,623,133,1644
-,繰越純増,(円),-7092,-22060,-10617,-8769,-14182,-28097,-2713,-6987,-2149,-2602,-10041,2586,20519
-,平均消費性向 ,(％),82.5,96.6,106.5,93.6,107.4,104,68,60.5,93.9,113.9,100.3,73.1,41.9
-,黒字率 ,(％),17.5,3.4,-6.5,6.4,-7.4,-4,32,39.5,6.1,-13.9,-0.3,26.9,58.1
-,金融資産純増率 ,(％),11.8,-1.4,-10.7,7,-10.8,-0.5,27.6,29.9,-0.3,-19.9,-8.7,14.6,50.3
-,平均貯蓄率,(％),11.7,-1.7,-10.9,6.8,-11.1,-0.7,27.6,29.9,-0.3,-20,-8.7,14.6,50.3
-,エンゲル係数 ,(％),24.5,22.3,18.5,23.2,23.6,25.5,26.1,32.2,30.2,22.7,21.5,28.1,26.3
