西暦,和暦,月等,性別,調査産業計_現金給与総額(円),調査産業計_きまって支給する給与(円),調査産業計_特別に支払われた給与(円),調査産業計_総実労働時間(時間),建設業_現金給与総額(円),建設業_きまって支給する給与(円),建設業_特別に支払われた給与(円),建設業_総実労働時間(時間),製造業_現金給与総額(円),製造業_きまって支給する給与(円),製造業_特別に支払われた給与(円),製造業_総実労働時間(時間),食料品・たばこ_現金給与総額(円),食料品・たばこ_きまって支給する給与(円),食料品・たばこ_特別に支払われた給与(円),食料品・たばこ_総実労働時間(時間),繊維工業_現金給与総額(円),繊維工業_きまって支給する給与(円),繊維工業_特別に支払われた給与(円),繊維工業_総実労働時間(時間),木材・木製品_現金給与総額(円),木材・木製品_きまって支給する給与(円),木材・木製品_特別に支払われた給与(円),木材・木製品_総実労働時間(時間),家具・装備品_現金給与総額(円),家具・装備品_きまって支給する給与(円),家具・装備品_特別に支払われた給与(円),家具・装備品_総実労働時間(時間),パルプ・紙_現金給与総額(円),パルプ・紙_きまって支給する給与(円),パルプ・紙_特別に支払われた給与(円),パルプ・紙_総実労働時間(時間),印刷・同関連業_現金給与総額(円),印刷・同関連業_きまって支給する給与(円),印刷・同関連業_特別に支払われた給与(円),印刷・同関連業_総実労働時間(時間),化学、石油・石炭_現金給与総額(円),化学、石油・石炭_きまって支給する給与(円),化学、石油・石炭_特別に支払われた給与(円),化学、石油・石炭_総実労働時間(時間),プラスチック製品_現金給与総額(円),プラスチック製品_きまって支給する給与(円),プラスチック製品_特別に支払われた給与(円),プラスチック製品_総実労働時間(時間),ゴム製品_現金給与総額(円),ゴム製品_きまって支給する給与(円),ゴム製品_特別に支払われた給与(円),ゴム製品_総実労働時間(時間),窯業・土石製品_現金給与総額(円),窯業・土石製品_きまって支給する給与(円),窯業・土石製品_特別に支払われた給与(円),窯業・土石製品_総実労働時間(時間),鉄鋼業_現金給与総額(円),鉄鋼業_きまって支給する給与(円),鉄鋼業_特別に支払われた給与(円),鉄鋼業_総実労働時間(時間),非鉄金属製造業_現金給与総額(円),非鉄金属製造業_きまって支給する給与(円),非鉄金属製造業_特別に支払われた給与(円),非鉄金属製造業_総実労働時間(時間),金属製品製造業_現金給与総額(円),金属製品製造業_きまって支給する給与(円),金属製品製造業_特別に支払われた給与(円),金属製品製造業_総実労働時間(時間),はん用機械器具_現金給与総額(円),はん用機械器具_きまって支給する給与(円),はん用機械器具_特別に支払われた給与(円),はん用機械器具_総実労働時間(時間),生産用機械器具_現金給与総額(円),生産用機械器具_きまって支給する給与(円),生産用機械器具_特別に支払われた給与(円),生産用機械器具_総実労働時間(時間),業務用機械器具_現金給与総額(円),業務用機械器具_きまって支給する給与(円),業務用機械器具_特別に支払われた給与(円),業務用機械器具_総実労働時間(時間),電子・デバイス_現金給与総額(円),電子・デバイス_きまって支給する給与(円),電子・デバイス_特別に支払われた給与(円),電子・デバイス_総実労働時間(時間),電気機械器具_現金給与総額(円),電気機械器具_きまって支給する給与(円),電気機械器具_特別に支払われた給与(円),電気機械器具_総実労働時間(時間),情報通信機械器具_現金給与総額(円),情報通信機械器具_きまって支給する給与(円),情報通信機械器具_特別に支払われた給与(円),情報通信機械器具_総実労働時間(時間),輸送用機械器具_現金給与総額(円),輸送用機械器具_きまって支給する給与(円),輸送用機械器具_特別に支払われた給与(円),輸送用機械器具_総実労働時間(時間),その他の製造業_現金給与総額(円),その他の製造業_きまって支給する給与(円),その他の製造業_特別に支払われた給与(円),その他の製造業_総実労働時間(時間),電気・ガス・熱供給・水道業_現金給与総額(円),電気・ガス・熱供給・水道業_きまって支給する給与(円),電気・ガス・熱供給・水道業_特別に支払われた給与(円),電気・ガス・熱供給・水道業_総実労働時間(時間),情報通信業_現金給与総額(円),情報通信業_きまって支給する給与(円),情報通信業_特別に支払われた給与(円),情報通信業_総実労働時間(時間),運輸業，郵便業_現金給与総額(円),運輸業，郵便業_きまって支給する給与(円),運輸業，郵便業_特別に支払われた給与(円),運輸業，郵便業_総実労働時間(時間),卸売業，小売業_現金給与総額(円),卸売業，小売業_きまって支給する給与(円),卸売業，小売業_特別に支払われた給与(円),卸売業，小売業_総実労働時間(時間),卸売業_現金給与総額(円),卸売業_きまって支給する給与(円),卸売業_特別に支払われた給与(円),卸売業_総実労働時間(時間),小売業_現金給与総額(円),小売業_きまって支給する給与(円),小売業_特別に支払われた給与(円),小売業_総実労働時間(時間),金融業，保険業_現金給与総額(円),金融業，保険業_きまって支給する給与(円),金融業，保険業_特別に支払われた給与(円),金融業，保険業_総実労働時間(時間),不動産業，物品賃貸業_現金給与総額(円),不動産業，物品賃貸業_きまって支給する給与(円),不動産業，物品賃貸業_特別に支払われた給与(円),不動産業，物品賃貸業_総実労働時間(時間),学術研究，専門・技術サービス業_現金給与総額(円),学術研究，専門・技術サービス業_きまって支給する給与(円),学術研究，専門・技術サービス業_特別に支払われた給与(円),学術研究，専門・技術サービス業_総実労働時間(時間),宿泊業，飲食サービス業_現金給与総額(円),宿泊業，飲食サービス業_きまって支給する給与(円),宿泊業，飲食サービス業_特別に支払われた給与(円),宿泊業，飲食サービス業_総実労働時間(時間),宿泊業_現金給与総額(円),宿泊業_きまって支給する給与(円),宿泊業_特別に支払われた給与(円),宿泊業_総実労働時間(時間),宿泊業，飲食サービス業一括分_現金給与総額(円),宿泊業，飲食サービス業一括分_きまって支給する給与(円),宿泊業，飲食サービス業一括分_特別に支払われた給与(円),宿泊業，飲食サービス業一括分_総実労働時間(時間),生活関連サービス業，娯楽業_現金給与総額(円),生活関連サービス業，娯楽業_きまって支給する給与(円),生活関連サービス業，娯楽業_特別に支払われた給与(円),生活関連サービス業，娯楽業_総実労働時間(時間),教育，学習支援業_現金給与総額(円),教育，学習支援業_きまって支給する給与(円),教育，学習支援業_特別に支払われた給与(円),教育，学習支援業_総実労働時間(時間),医療，福祉_現金給与総額(円),医療，福祉_きまって支給する給与(円),医療，福祉_特別に支払われた給与(円),医療，福祉_総実労働時間(時間),医療業_現金給与総額(円),医療業_きまって支給する給与(円),医療業_特別に支払われた給与(円),医療業_総実労働時間(時間),医療，福祉一括分_現金給与総額(円),医療，福祉一括分_きまって支給する給与(円),医療，福祉一括分_特別に支払われた給与(円),医療，福祉一括分_総実労働時間(時間),複合サービス事業_現金給与総額(円),複合サービス事業_きまって支給する給与(円),複合サービス事業_特別に支払われた給与(円),複合サービス事業_総実労働時間(時間),その他のサービス業（他に分類されないもの）_現金給与総額(円),その他のサービス業（他に分類されないもの）_きまって支給する給与(円),その他のサービス業（他に分類されないもの）_特別に支払われた給与(円),その他のサービス業（他に分類されないもの）_総実労働時間(時間),職業紹介・派遣業_現金給与総額(円),職業紹介・派遣業_きまって支給する給与(円),職業紹介・派遣業_特別に支払われた給与(円),職業紹介・派遣業_総実労働時間(時間),他の事業サービス_現金給与総額(円),他の事業サービス_きまって支給する給与(円),他の事業サービス_特別に支払われた給与(円),他の事業サービス_総実労働時間(時間),その他のサービス業一括分_現金給与総額(円),その他のサービス業一括分_きまって支給する給与(円),その他のサービス業一括分_特別に支払われた給与(円),その他のサービス業一括分_総実労働時間(時間)
2015年,平成27年,10月,男女計,244867,241352,3515,137.3,315597,314844,753,161.4,302116,299046,3070,154.7,226268,224034,2234,149.4,235791,227381,8410,149.7,357978,357978,-,187.4,247332,246368,964,141.4,259109,259109,-,161.2,257749,251130,6619,166.9,360138,348247,11891,158.9,242239,242239,-,147.4,X,X,X,X,278143,278143,-,157.9,301663,301663,-,151.4,274615,274615,-,170.4,259132,259132,-,162.8,320662,318535,2127,171.8,370168,369820,348,157.9,361818,351240,10578,143.1,344025,343622,403,143.3,354777,353373,1404,151.7,374140,372296,1844,146.3,362237,359679,2558,176,293855,293383,472,147.8,447576,437028,10548,157.8,320148,317936,2212,171.3,259790,257390,2400,178.3,199454,192675,6779,130.4,309100,288363,20737,156.5,151336,150682,654,119.1,343288,326384,16904,147.1,242783,241924,859,145.6,337526,331395,6131,149.9,107423,107141,282,97.9,145567,145044,523,124.4,93707,93512,195,88.5,173541,173046,495,122.5,307266,302350,4916,126.7,253983,252927,1056,132,295500,293913,1587,131.7,190087,189847,240,132.5,296573,279470,17103,170.7,223167,222229,938,138.1,230814,230429,385,143.1,183210,182206,1004,130.4,294785,293615,1170,149.6
2015年,平成27年,11月,男女計,248992,240707,8285,139.9,316110,315431,679,168,309142,301426,7716,166.4,256896,228456,28440,156,234446,234446,-,167.1,347975,347975,-,215.7,338785,251872,86913,157.6,285571,267766,17805,184,251538,250445,1093,177.6,340130,339109,1021,161.4,236871,236871,-,153,X,X,X,X,274462,274462,-,157.1,307972,307972,-,166.9,268813,268513,300,174,284661,265053,19608,185.1,324709,323046,1663,182.7,373546,373190,356,175.3,355023,354257,766,153.5,354337,354337,-,155.1,353740,352647,1093,166.6,375882,373694,2188,167.7,355811,355000,811,174.3,313532,297400,16132,166.3,453952,446476,7476,149.4,336073,316978,19095,168,281512,264307,17205,183.7,200433,193169,7264,133.7,300726,293205,7521,166.9,156678,149527,7151,119.2,318446,316833,1613,143.3,301223,248344,52879,149.5,363829,329966,33863,150.2,111414,110907,507,100.4,146098,145525,573,125.7,98515,98033,482,91,175011,174944,67,121.8,298744,298692,52,124.6,257915,247750,10165,129.9,299892,291477,8415,130.8,193914,181081,12833,128.6,252341,247430,4911,148,227520,217914,9606,137.7,212177,211869,308,137.8,184125,175458,8667,128.9,318044,300875,17169,154.1
2015年,平成27年,12月,男女計,518919,242454,276465,139,588458,312616,275842,166.4,722265,301143,421122,163.9,414106,235477,178629,154.9,359744,244819,114925,161.7,845838,333500,512338,198,466082,248091,217991,149.3,575365,265904,309461,176.6,340443,224718,115725,186,1077806,342305,735501,152.9,483389,246652,236737,157.1,X,X,X,X,659945,279631,380314,160.1,590662,318763,271899,154.9,362851,263565,99286,162.4,449386,265794,183592,184.8,669546,318708,350838,171.7,1062571,373369,689202,175.9,1124884,350969,773915,157.2,1022690,344802,677888,152.7,865164,348970,516194,156.1,1291013,374733,916280,167.6,933812,355932,577880,165.6,617466,301634,315832,163.3,1060786,441722,619064,146.9,635708,316809,318899,164.8,462276,268301,193975,183.9,366200,193859,172341,132.6,665903,297552,368351,164.8,236560,149005,87555,118.7,862374,327614,534760,147,446808,238414,208394,138.5,858854,335034,523820,149.6,148076,113177,34899,101.6,229746,152130,77616,122.8,117488,98588,18900,93.6,281935,179092,102843,126.3,828172,300047,528125,121.5,539010,255822,283188,130.6,653397,305569,347828,133,364686,180009,184677,127,535424,242306,293118,148.2,419582,212596,206986,134.3,372695,221550,151145,140.8,297928,168233,129695,126.6,676110,291017,385093,145.1
2015年,平成27年,平均,男,373605,306528,67077,155.5,391392,337599,53793,171.8,449706,353917,95789,167.7,361429,304142,57287,170.3,302238,279671,22567,155.4,444634,349417,95217,193.9,347107,288049,59058,151.9,342745,290916,51829,183.2,366443,324508,41935,167.7,557553,395091,162462,165,369600,309269,60331,167.8,X,X,X,X,404945,321960,82985,158.8,399859,346610,53249,166.4,330635,292919,37716,172.3,331430,286070,45360,176.6,427646,345193,82453,180.3,500054,384778,115276,171.9,578396,407577,170819,158.8,581502,423727,157775,155.1,493600,388212,105388,164.6,597398,416175,181223,160.9,477646,370207,107439,172.8,468074,392695,75379,170.6,611193,476314,134879,155.6,410473,346450,64023,172.5,327449,286803,40646,193.5,317699,264328,53371,153.8,423920,338934,84986,172.8,232536,204512,28024,138.4,532581,404613,127968,162.3,387685,314312,73373,167,514485,402137,112348,162.4,159355,147908,11447,119.3,226905,203073,23832,147.8,134067,127256,6811,108.6,259871,233551,26320,138.1,455926,352651,103275,128.9,397125,345294,51831,133.6,483437,421915,61522,134.9,251954,216422,35532,131.5,393561,304067,89494,164.5,315368,264078,51290,152,317356,274037,43319,153.9,248832,213445,35387,147.9,401203,325842,75361,156.4
2015年,平成27年,1月,男,315292,303403,11889,145.4,346971,344094,2877,153.9,358646,350835,7811,151.8,308002,304408,3594,165.8,296641,279255,17386,139.6,407008,330316,76692,162.5,321845,277595,44250,132.9,280662,280662,-,151.3,336084,334865,1219,143,400318,400318,-,154.2,322486,302540,19946,139.3,X,X,X,X,327331,327331,-,141,350540,350540,-,168.8,302914,292349,10565,162.5,290311,274299,16012,146,325907,325864,43,165.3,404783,381969,22814,159.4,395815,393475,2340,139.3,415626,415448,178,135.5,387092,386585,507,151.3,414956,413425,1531,136.2,363691,361690,2001,171.3,394573,394573,-,129.2,481121,468534,12587,143.5,377561,357916,19645,152.7,281300,280910,390,193.3,271772,260779,10993,143,340908,332570,8338,156.2,218089,205034,13055,132.8,411213,409923,1290,156.9,369853,307262,62591,155.2,396794,389631,7163,150.8,149145,143320,5825,111.8,212154,203222,8932,142.8,126295,121596,4699,100.7,237993,231997,5996,133.7,397446,351464,45982,119.6,367629,348501,19128,129.1,454895,425559,29336,129.7,221509,219473,2036,128.3,355274,319165,36109,162.3,257163,252069,5094,145.9,251546,251161,385,131.6,200587,198657,1930,148.7,334310,323156,11154,147.8
2015年,平成27年,2月,男,308255,306129,2126,155.2,353220,348472,4748,181.8,354871,352146,2725,169.2,307875,299766,8109,166.8,279584,278792,792,161.6,339000,339000,-,176.2,301374,284667,16707,155.6,286385,286385,-,191.9,327298,325699,1599,154.9,394613,394613,-,164.9,319613,319613,-,175.9,X,X,X,X,331508,331508,-,171,353260,353260,-,162.9,299347,299347,-,178.5,285915,285742,173,179.9,383194,363383,19811,187.9,381210,380899,311,172.7,400779,398971,1808,153.7,419418,419418,-,160,388829,388058,771,169.2,445959,426642,19317,172.1,355000,353029,1971,176,389930,389930,-,179.6,480495,462425,18070,142.3,343443,342886,557,177.8,283765,281405,2360,192.2,262865,261196,1669,152.8,337599,335510,2089,171.9,205377,204032,1345,138.1,401868,401683,185,153.8,318976,316014,2962,173.9,404101,402337,1764,163.9,145486,144477,1009,110.9,211372,210502,870,142,122363,121305,1058,100,220403,220403,-,132.8,361718,360072,1646,127.4,352159,350698,1461,132.6,432566,430929,1637,134.5,218998,217829,1169,129.5,306460,288222,18238,151.8,269240,268245,995,154.3,281268,281069,199,156.4,228437,226595,1842,157.3,323761,323678,83,149
2015年,平成27年,3月,男,321926,306544,15382,156.5,347403,345447,1956,184.7,369705,351218,18487,165.8,295106,294651,455,164.9,269879,266664,3215,149.8,363127,350858,12269,178.9,279039,279039,-,155.6,278496,278496,-,179.9,388382,329725,58657,158.4,438045,400670,37375,169.1,313212,305040,8172,157.5,X,X,X,X,334157,334157,-,155.6,351007,351007,-,162.9,302364,302364,-,180.6,335856,283286,52570,172.1,385380,348141,37239,182.1,376201,375888,313,168.8,414024,408363,5661,164.6,495468,423111,72357,154.4,392886,391206,1680,165.3,435165,429153,6012,162.4,385381,368580,16801,177.5,402224,401700,524,168.3,591909,449676,142233,164.8,337323,335483,1840,181.8,311452,284922,26530,190.5,270814,263540,7274,151.6,345170,335825,9345,173.4,212388,206741,5647,134.5,519621,407429,112192,168.5,344094,317685,26409,171.1,413821,410129,3692,170.9,153778,149024,4754,117.4,213177,198473,14704,145.2,130212,129405,807,106.4,221272,221272,-,129.8,374201,363201,11000,137.3,352453,348723,3730,133.4,429747,427097,2650,136.2,221581,216021,5560,128.8,368913,300949,67964,169.5,266557,258765,7792,152.5,268075,267021,1054,166.7,223194,207777,15417,144.6,322868,322061,807,156.6
2015年,平成27年,4月,男,320024,310590,9434,162.7,393833,348940,44893,185.5,367947,357131,10816,175.4,318445,313950,4495,177,287509,279184,8325,162.7,332597,331741,856,192.1,288329,286615,1714,171.8,279731,279731,-,189.1,342809,334324,8485,163.2,423045,406835,16210,179.8,316636,316636,-,178.2,X,X,X,X,325772,325772,-,173.1,346588,346588,-,173.1,517568,288698,228870,170.9,285132,282637,2495,180.6,357489,354040,3449,179.6,393670,391619,2051,185.9,457716,408683,49033,167.7,436520,436092,428,168.4,390827,387570,3257,178.2,434122,431034,3088,179.5,361467,358791,2676,167.2,384071,384071,-,178.9,483559,470151,13408,159,374085,360198,13887,186.1,301528,295123,6405,200.6,275299,264672,10627,160.3,364433,341143,23290,183.7,205459,204754,705,141.9,444352,425012,19340,172.9,320731,312406,8325,179.1,408129,402074,6055,171.9,153722,153033,689,124.1,207548,206577,971,155.1,131813,131238,575,111.4,232515,232434,81,146.6,361312,359720,1592,136.1,350892,345802,5090,135.3,435442,429323,6119,139.6,206473,203141,3332,127.9,313144,302310,10834,169.1,262638,259310,3328,154.7,271438,271052,386,161.2,204732,202539,2193,145.3,333643,327500,6143,163.8
2015年,平成27年,5月,男,312073,304769,7304,149.3,340914,340432,482,162.8,359657,350432,9225,155.9,313346,307995,5351,165.8,274791,271805,2986,147,368108,368108,-,184.8,282286,278825,3461,145.3,306737,279915,26822,169.1,328536,327095,1441,141.7,393434,392746,688,156.4,411674,315731,95943,158.8,X,X,X,X,343534,314479,29055,146.9,343848,343848,-,167.4,287816,287816,-,158.5,272442,270807,1635,158.2,341123,339116,2007,165.5,382078,378995,3083,163,403868,403148,720,149.4,427031,427031,-,143.3,382652,381110,1542,156.1,423720,421229,2491,138.2,385612,364828,20784,155.4,433207,389733,43474,155.8,478547,471578,6969,140.1,342547,338572,3975,159.2,278023,277492,531,189.5,267560,263075,4485,148.6,339118,336002,3116,167.7,211589,206033,5556,133.6,416022,403559,12463,156.5,332537,313277,19260,156.4,409280,404511,4769,161.5,154458,152250,2208,123.9,203632,202771,861,158.6,135093,132354,2739,110.3,230022,230022,-,136.6,352175,351411,764,118.3,343120,340494,2626,127.4,410970,409826,1144,126,222931,217680,5251,129.9,316766,305062,11704,159.4,297797,260110,37687,148.8,458383,257481,200902,139.6,207057,206033,1024,145.1,341008,329818,11190,157.8
2015年,平成27年,6月,男,517886,307286,210600,161.6,545017,346790,198227,184.8,668979,357197,311782,172.8,517783,309176,208607,179,338533,270638,67895,158.3,777305,344097,433208,191.2,479430,278647,200783,164.6,293427,293427,-,197.3,493568,321036,172532,154.2,817814,392739,425075,174.9,448370,326166,122204,182.9,X,X,X,X,395778,325124,70654,170,679717,366797,312920,166.9,312882,299136,13746,180.8,332765,283645,49120,184.9,620346,347324,273022,190.9,617390,390453,226937,176.6,1217190,423189,794001,161.9,1176948,419477,757471,160.8,794479,392169,402310,163.3,1471632,431126,1040506,176,583375,381501,201874,178.9,522726,377249,145477,175.7,1115424,466189,649235,169.5,566164,335888,230276,176.3,399893,284231,115662,200.6,361739,263011,98728,159.3,503390,340332,163058,181,250413,202244,48169,142.4,929595,404139,525456,166.7,501312,306926,194386,170.1,807042,413354,393688,173.4,173818,143215,30603,116.1,274777,185021,89756,140.6,132224,125991,6233,106,312115,226405,85710,143.4,740130,354697,385433,137.3,470587,347025,123562,140.1,549379,421841,127538,141,335082,218359,116723,138.6,444783,305204,139579,175.7,441261,266491,174770,160.9,300526,283294,17232,170.8,327258,215346,111912,153.6,641986,323290,318696,165.8
2015年,平成27年,7月,男,429127,307677,121450,161.5,356805,322630,34175,170.3,560603,355844,204759,177.1,404398,306249,98149,179.9,327718,285282,42436,147.9,406018,340709,65309,213.1,310966,297646,13320,159.3,456786,292620,164166,180.6,381743,333741,48002,195.8,893296,393203,500093,174.5,412223,309694,102529,176.7,X,X,X,X,719140,317917,401223,163,370139,352940,17199,169.8,374106,288253,85853,174.3,460044,290450,169594,184,480527,340746,139781,186.3,770326,384312,386014,183.6,598355,418327,180028,171.1,522250,424737,97513,168.3,637407,387095,250312,175.4,436836,412663,24173,178.3,783043,374588,408455,186.4,552859,394040,158819,168.7,526755,509735,17020,178.6,404333,338747,65586,180.6,376183,287583,88600,194.4,452440,265519,186921,157.9,648184,340078,308106,178.1,285423,201902,83521,140.6,477572,402848,74724,175,432260,322139,110121,171.2,428719,394050,34669,171.4,167330,150965,16365,119.7,218020,207968,10052,144.1,147543,128713,18830,110.2,283265,240359,42906,138.8,472001,353125,118876,138.6,424810,343444,81366,138.1,518163,421417,96746,139.9,272148,215934,56214,135.1,573827,295679,278148,168.1,347465,273693,73772,159.9,302444,285731,16713,162.9,310072,224889,85183,155.9,415864,336667,79197,164.2
2015年,平成27年,8月,男,321673,305648,16025,152.2,386042,329063,56979,162.3,373301,351068,22233,161.3,316127,300360,15767,154.8,286771,283412,3359,146.8,334101,334101,-,218.1,349489,299534,49955,150.6,294378,294378,-,185.5,350862,325498,25364,180.8,381704,381704,-,145.7,338745,308621,30124,170.3,X,X,X,X,303491,303491,-,142.6,342759,333532,9227,168.1,279430,279430,-,168.3,294944,290126,4818,172.8,437571,340809,96762,173.2,423385,386416,36969,162.5,457362,410351,47011,157.1,420305,420305,-,151.8,399392,382470,16922,166.4,419671,400511,19160,131.4,396232,370287,25945,158.9,433984,393063,40921,171.6,499998,484215,15783,155.8,335214,329098,6116,165.7,294149,289623,4526,191.1,278534,267308,11226,154,360320,343141,17179,172.7,210287,204029,6258,138.4,439629,397665,41964,161.8,389519,318029,71490,162.2,398932,397112,1820,153.3,160753,153851,6902,125,218789,218389,400,153.6,139967,130736,9231,114.7,259583,239849,19734,138.1,350164,341583,8581,117.3,350970,341387,9583,137.2,428744,414946,13798,139.1,224470,221741,2729,134.2,338630,308695,29935,169.1,269996,262998,6998,146.1,286875,271830,15045,140.9,214904,209671,5233,142.1,332301,326306,5995,153.1
2015年,平成27年,9月,男,316621,305498,11123,154.2,332350,329447,2903,168.4,361374,355191,6183,169.6,299156,298639,517,168.5,282521,279296,3225,155.6,357673,349459,8214,190.9,299412,290945,8467,141.5,301463,297882,3581,191.3,352140,337672,14468,178.7,400023,397528,2495,162.6,299672,299672,-,168.3,X,X,X,X,322377,322377,-,163.1,348348,348348,-,165.4,304998,304998,-,173.7,308705,295517,13188,190.2,348070,345882,2188,184.7,387336,386981,355,175.4,416893,406884,10009,162.9,447361,419214,28147,151.5,391347,389659,1688,156.2,415170,408598,6572,173.7,394785,387058,7727,172.5,393851,393851,-,183.1,494020,477550,16470,147.5,409869,351043,58826,168.4,288835,288069,766,189.8,268087,263784,4303,156.1,345995,340784,5211,175.6,203372,199823,3549,139.9,414440,402488,11952,151.4,324217,318948,5269,169.9,554171,398979,155192,155.7,152491,145728,6763,117.2,226247,203408,22839,143.9,126624,125499,1125,107.7,246146,245577,569,139.9,351626,351518,108,129.4,338528,338109,419,127.1,414533,414375,158,126.1,212504,211651,853,128.6,313187,305990,7197,155,264745,260188,4557,147.8,262799,262124,675,149.3,215840,210761,5079,142.5,326877,321413,5464,153.8
2015年,平成27年,10月,男,311968,307181,4787,154.3,333964,333077,887,165.6,358978,355555,3423,164.2,304759,302166,2593,172.2,285438,280312,5126,155.3,380691,380691,-,192.4,294788,292936,1852,142,293467,293467,-,172.1,337541,327664,9877,178.6,417282,401045,16237,168.2,306701,306701,-,163.6,X,X,X,X,322674,322674,-,157.9,333079,333079,-,158.3,296696,296696,-,175.2,289075,289075,-,168,344714,342366,2348,177.8,385397,385038,359,159.5,419005,405281,13724,151.3,425889,425247,642,149.3,394794,393482,1312,157.7,406496,404442,2054,146.6,377857,375125,2732,180.2,395376,395376,-,166.5,490704,479063,11641,162.3,358747,355809,2938,174.6,287839,285019,2820,190,277842,266264,11578,151.9,361675,336829,24846,166.2,208998,208315,683,140.2,425674,404441,21233,164.5,312926,311673,1253,165.7,411720,404526,7194,158,141460,141068,392,118.1,195914,195362,552,147.9,122070,121735,335,107.5,234060,233620,440,137.4,360585,354899,5686,132.1,353620,352600,1020,138.7,432601,431388,1213,140.7,227718,227005,713,135.5,351067,327103,23964,180.1,275421,274435,986,153.7,309031,308644,387,162.6,228587,227385,1202,149.7,324371,323407,964,155.2
2015年,平成27年,11月,男,316219,305631,10588,157.1,333125,332326,799,171.7,364808,354881,9927,175.6,343398,296292,47106,173.5,289115,289115,-,175.7,370326,370326,-,221.5,407634,297493,110141,154.9,327937,304688,23249,198.9,319747,317860,1887,188.9,390256,388863,1393,168.9,294337,294337,-,165.7,X,X,X,X,323853,323853,-,163.3,337422,337422,-,173.3,290235,290235,-,178,315281,293174,22107,192.4,348322,346541,1781,188.6,387479,387115,364,177,408085,407215,870,160.6,431949,431949,-,160.7,392443,391375,1068,173.7,409195,406828,2367,167.8,374507,373727,780,179.6,429914,396032,33882,185.6,497138,488457,8681,152.7,368631,354795,13836,174.9,308217,290939,17278,195.1,276672,266163,10509,155.5,349501,339742,9759,174.1,218248,207138,11110,140.6,394714,392189,2525,155.5,391990,320103,71887,170.5,440983,402781,38202,159.4,147316,146417,899,122.4,193248,192649,599,148,129892,128879,1013,112.8,239644,239644,-,138.3,344733,344681,52,127.7,349914,337502,12412,131.4,424769,411944,12825,131.6,224810,213086,11724,131,302441,293544,8897,158.3,282633,268795,13838,151.8,271273,270935,338,149.4,230012,217440,12572,147.5,352494,331217,21277,158.1
2015年,平成27年,12月,男,691109,307977,383132,156.1,628027,330237,297790,170.2,893807,355397,538410,172.7,598247,316031,282216,174.9,439863,301546,138317,169.6,893897,354897,539000,205.5,544410,293555,250855,148.5,666227,302743,363484,188.4,425015,274869,150146,201.5,1317129,391513,925616,160.8,637176,305046,332130,168.4,X,X,X,X,786988,316486,470502,157.9,650271,351414,298857,160.9,399824,285934,113890,166.2,509441,293771,215670,190.1,740451,344607,395844,178.8,1107346,388004,719342,178.5,1335409,405762,929647,164.6,1329829,422643,907186,156.8,967280,387739,579541,161.9,1453072,408058,1045014,167.9,978732,374383,604349,169.8,868288,403393,464895,181.5,1178513,483169,695344,149.5,716918,355925,360993,171.7,515323,296256,219067,195.7,555945,267142,288803,153.7,791033,345450,445583,173,366517,204043,162474,138,1134755,399838,734917,163.7,618087,307561,310526,158.2,1097531,406651,690880,159.8,211399,152300,59099,124.9,349217,216343,132874,151.7,164054,130299,33755,115.7,409645,242044,167601,142.4,980809,346796,634013,125.2,712153,349849,362304,133.1,862337,425532,436805,134.6,443924,214679,229245,130.3,696726,296088,400638,156.3,547675,262397,285278,147.1,528880,275602,253278,153.1,393105,210328,182777,141.5,747463,321518,425945,151.3
2015年,平成27年,平均,女,198901,170713,28188,121,233497,209078,24419,140.3,208452,179158,29294,138.9,150429,138986,11443,126.2,202915,186163,16752,150,287243,225143,62100,160.9,235876,196902,38974,150.3,167743,148708,19035,129.2,179725,159911,19814,144.1,263344,220353,42991,137.5,157808,143379,14429,132.7,X,X,X,X,163858,148953,14905,168.2,213375,183119,30256,136.7,211484,197030,14454,150.8,197675,176501,21174,155.5,213076,186412,26664,142.4,312403,243861,68542,152,266347,202544,63803,132,246641,203175,43466,138.6,245536,198786,46750,134.7,319882,244700,75182,157.1,312204,239491,72713,140.6,234341,205141,29200,141.7,306645,254733,51912,137.7,293718,245272,48446,159.3,182807,160970,21837,137.9,144096,129820,14276,114.1,235601,195939,39662,149.1,124764,115851,8913,106.7,329546,254264,75282,137.9,202384,173655,28729,127.8,253026,214960,38066,135.3,87533,84039,3494,84.8,117164,108330,8834,105.8,76978,75386,1592,77.4,140696,131432,9264,117.1,308319,242577,65742,119.7,260330,220162,40168,130.2,301082,253609,47473,132.5,201389,171786,29603,126.8,238560,199609,38951,140.4,161193,142976,18217,118.9,149412,144660,4752,122.2,143254,126979,16275,111.6,242350,199879,42471,141.3
