西暦,和暦,地域コード,地域,幼稚園_幼稚園数(園),幼稚園_幼稚園数_国・公立(園),幼稚園_幼稚園数_私立(園),幼稚園_教員数(本務者)(人),幼稚園_教員数(本務者)_男(人),幼稚園_教員数(本務者)_女(人),幼稚園_園児数(人),幼稚園_園児数_男(人),幼稚園_園児数_女(人),幼保連携型認定こども園_幼保連携型認定こども園数(園),幼保連携型認定こども園_幼保連携型認定こども園数_国・公立(園),幼保連携型認定こども園_幼保連携型認定こども園数_私立(園),幼保連携型認定こども園_教員数(本務者)(人),幼保連携型認定こども園_教員数(本務者)_男(人),幼保連携型認定こども園_教員数(本務者)_女(人),幼保連携型認定こども園_園児数(人),幼保連携型認定こども園_園児数_男(人),幼保連携型認定こども園_園児数_女(人),保育所_保育所数(所),保育所_保育所数_公営(所),保育所_在籍者数(人)
2015年度,平成27年度,26106,京都市下京区,10,2,8,89,7,82,1049,551,498,-,-,-,-,-,-,-,-,-,11,1,1249
2015年度,平成27年度,26107,京都市南区,3,-,3,36,3,33,426,210,216,-,-,-,-,-,-,-,-,-,29,3,2633
2015年度,平成27年度,26108,京都市右京区,14,1,13,176,11,165,2248,1120,1128,-,-,-,-,-,-,-,-,-,35,3,3347
2015年度,平成27年度,26111,京都市西京区,14,-,14,169,14,155,2324,1180,1144,4,-,4,66,6,60,383,203,180,24,0,2588
2015年度,平成27年度,26109,京都市伏見区,21,6,15,181,10,171,2256,1114,1142,4,-,4,89,5,84,528,275,253,52,4,5793
2015年度,平成27年度,26201,福知山市,5,3,2,40,0,40,528,270,258,-,-,-,-,-,-,-,-,-,36,10,2480
2015年度,平成27年度,26202,舞鶴市,14,1,13,145,17,128,1315,630,685,-,-,-,-,-,-,-,-,-,15,3,1458
2015年度,平成27年度,26203,綾部市,3,3,-,9,0,9,42,20,22,-,-,-,-,-,-,-,-,-,9,1,859
2015年度,平成27年度,26204,宇治市,13,4,9,152,6,146,2088,1111,977,-,-,-,-,-,-,-,-,-,26,7,3895
2015年度,平成27年度,26205,宮津市,4,3,1,13,0,13,111,65,46,-,-,-,-,-,-,-,-,-,8,3,340
2015年度,平成27年度,26206,亀岡市,5,1,4,65,4,61,832,415,417,-,-,-,-,-,-,-,-,-,15,8,2202
2015年度,平成27年度,26207,城陽市,7,1,6,76,3,73,893,459,434,-,-,-,-,-,-,-,-,-,10,5,1532
2015年度,平成27年度,26208,向日市,3,-,3,46,5,41,647,334,313,-,-,-,-,-,-,-,-,-,8,4,1135
2015年度,平成27年度,26209,長岡京市,5,-,5,102,4,98,1379,690,689,-,-,-,-,-,-,-,-,-,11,5,1504
2015年度,平成27年度,26210,八幡市,7,5,2,60,3,57,922,438,484,2,1,1,48,1,47,402,190,212,72,6,1558
2015年度,平成27年度,26211,京田辺市,10,8,2,80,2,78,976,506,470,-,-,-,-,-,-,-,-,-,28,4,1225
2015年度,平成27年度,26212,京丹後市,6,6,-,35,0,35,185,84,101,-,-,-,-,-,-,-,-,-,17,14,1409
2015年度,平成27年度,26213,南丹市,3,2,1,26,1,25,273,133,140,-,-,-,-,-,-,-,-,-,9,9,646
2015年度,平成27年度,26214,木津川市,4,3,1,35,1,34,554,284,270,-,-,-,-,-,-,-,-,-,15,10,2030
2015年度,平成27年度,26303,乙訓郡大山崎町,1,-,1,11,1,10,166,90,76,-,-,-,-,-,-,-,-,-,3,3,354
2015年度,平成27年度,26322,久世郡久御山町,3,3,-,18,0,18,131,64,67,-,-,-,-,-,-,-,-,-,3,3,355
2015年度,平成27年度,26343,綴喜郡井手町,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,3,3,185
2015年度,平成27年度,26344,綴喜郡宇治田原町,1,-,1,6,0,6,36,18,18,-,-,-,-,-,-,-,-,-,1,1,193
2015年度,平成27年度,26364,相楽郡笠置町,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,1,19
2015年度,平成27年度,26365,相楽郡和束町,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,1,95
2015年度,平成27年度,26366,相楽郡精華町,3,-,3,66,1,65,854,421,433,-,-,-,-,-,-,-,-,-,5,5,822
2015年度,平成27年度,26367,相楽郡南山城村,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,1,1,37
2015年度,平成27年度,26407,船井郡京丹波町,1,1,-,8,0,8,59,28,31,-,-,-,-,-,-,-,-,-,3,3,229
2015年度,平成27年度,26463,与謝郡伊根町,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,2,2,42
2015年度,平成27年度,26465,与謝郡与謝野町,3,2,1,20,0,20,98,52,46,-,-,-,-,-,-,-,-,-,8,8,463
