死因,性別,総数(人),京都市(人),その他の市町村(人),乙訓保健所(人),山城北保健所(人),山城南保健所(人),南丹保健所(人),中丹西保健所(人),中丹東保健所(人),丹後保健所(人),福知山市(人),舞鶴市(人),綾部市(人),宇治市(人),宮津市(人),亀岡市(人),城陽市(人),向日市(人),長岡京市(人),八幡市(人),京田辺市(人),京丹後市(人),南丹市(人),木津川市(人),大山崎町(人),久御山町(人),井手町(人),宇治田原町(人),笠置町(人),和束町(人),精華町(人),南山城村(人),京丹波町(人),伊根町(人),与謝野町(人)
感染症及び寄生虫症_結核_その他の結核,男,5,2,3,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_結核_その他の結核,女,2,-,2,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_敗血症,男,126,68,58,5,22,5,9,4,6,7,4,5,1,11,2,3,3,1,4,4,2,4,3,2,-,-,1,1,1,1,1,-,3,1,-
感染症及び寄生虫症_敗血症,女,124,76,48,3,16,1,11,4,8,5,4,6,2,10,2,6,1,1,1,3,2,2,5,1,1,-,-,-,-,-,-,-,-,-,1
感染症及び寄生虫症_ウイルス肝炎,男,38,26,12,1,5,2,2,-,1,1,-,1,-,1,-,2,3,-,1,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,1
感染症及び寄生虫症_ウイルス肝炎,女,47,28,19,3,5,1,3,2,2,3,2,2,-,2,-,3,-,-,3,3,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_B型ウイルス肝炎,男,4,2,2,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
感染症及び寄生虫症_ウイルス肝炎_B型ウイルス肝炎,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_C型ウイルス肝炎,男,32,22,10,1,5,1,2,-,1,-,-,1,-,1,-,2,3,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_C型ウイルス肝炎,女,45,26,19,3,5,1,3,2,2,3,2,2,-,2,-,3,-,-,3,3,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_その他のウイルス肝炎,男,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ウイルス肝炎_その他のウイルス肝炎,女,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ヒト免疫不全ウイルス(HIV)病,男,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_ヒト免疫不全ウイルス(HIV)病,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感染症及び寄生虫症_その他の感染症及び寄生虫症,男,56,31,25,1,11,4,4,1,2,2,1,1,1,4,-,-,3,-,1,-,1,1,2,4,-,-,2,1,-,-,-,-,2,-,1
感染症及び寄生虫症_その他の感染症及び寄生虫症,女,44,30,14,-,10,-,-,1,-,3,1,-,-,6,2,-,1,-,-,1,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-
新生物,男,4487,2468,2019,203,745,166,243,158,265,239,158,188,77,358,47,134,114,75,99,125,94,129,73,93,29,27,20,7,6,10,48,9,36,8,55
新生物,女,3300,1854,1446,167,537,114,185,91,163,189,91,107,56,218,38,100,104,60,81,116,58,98,59,65,26,14,12,15,3,4,37,5,26,4,49
新生物_悪性新生物,男,4384,2416,1968,198,725,161,238,156,261,229,156,186,75,348,46,132,110,74,97,122,91,122,72,90,27,27,20,7,5,10,47,9,34,8,53
新生物_悪性新生物,女,3190,1799,1391,160,510,112,181,87,157,184,87,103,54,207,36,98,99,58,79,110,54,96,58,65,23,14,12,14,3,4,35,5,25,4,48
新生物_悪性新生物_口唇，口腔及び咽頭,男,85,49,36,3,13,4,-,2,6,8,2,4,2,5,1,-,2,2,1,3,2,3,-,4,-,-,-,1,-,-,-,-,-,-,4
新生物_悪性新生物_口唇，口腔及び咽頭,女,51,35,16,4,4,1,3,1,1,2,1,-,1,3,-,2,-,1,3,-,1,2,1,-,-,-,-,-,-,-,1,-,-,-,-
新生物_悪性新生物_食道,男,188,103,85,9,41,6,8,6,9,6,6,6,3,21,2,2,10,4,5,4,2,2,5,2,-,2,1,1,-,2,2,-,1,-,2
新生物_悪性新生物_食道,女,43,28,15,2,7,-,3,1,1,1,1,1,-,5,-,2,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-
新生物_悪性新生物_胃,男,584,319,265,25,94,25,33,20,36,32,20,25,11,52,5,15,14,9,14,14,8,22,11,11,2,1,4,1,2,1,8,3,7,-,5
新生物_悪性新生物_胃,女,362,210,152,16,49,12,26,7,18,24,7,11,7,20,5,11,9,8,8,15,3,14,12,10,-,-,1,1,1,-,1,-,3,1,4
新生物_悪性新生物_結腸,男,340,195,145,18,49,15,18,11,18,16,11,14,4,21,2,15,6,5,9,9,7,10,3,7,4,3,3,-,-,-,6,2,-,1,3
新生物_悪性新生物_結腸,女,359,226,133,10,47,14,13,7,14,28,7,8,6,23,7,7,11,1,8,9,3,12,3,8,1,1,-,-,-,-,5,1,3,-,9
新生物_悪性新生物_直腸S状結腸移行部及び直腸,男,193,107,86,12,35,5,9,6,8,11,6,7,1,19,2,5,1,4,8,7,5,4,3,4,-,2,1,-,-,-,1,-,1,-,5
新生物_悪性新生物_直腸S状結腸移行部及び直腸,女,115,60,55,6,19,1,9,4,9,7,4,6,3,7,2,4,7,2,2,2,2,5,4,1,2,-,-,1,-,-,-,-,1,-,-
新生物_悪性新生物_肝及び肝内胆管,男,379,206,173,22,66,13,23,18,18,13,18,14,4,30,1,13,9,10,9,11,13,7,6,7,3,2,1,-,1,1,4,-,4,1,4
新生物_悪性新生物_肝及び肝内胆管,女,221,121,100,13,30,11,8,10,16,12,10,14,2,13,3,6,3,6,4,7,5,6,1,6,3,1,1,-,-,1,3,1,1,-,3
新生物_悪性新生物_胆のう及びその他の胆道,男,187,97,90,7,32,7,15,2,17,10,2,14,3,13,1,9,6,5,2,10,1,8,2,4,-,1,1,-,-,1,2,-,4,-,1
新生物_悪性新生物_胆のう及びその他の胆道,女,192,87,105,6,37,4,14,8,16,20,8,9,7,17,1,7,3,-,4,9,6,8,6,2,2,1,-,1,1,-,1,-,1,1,10
新生物_悪性新生物_膵,男,363,196,167,22,73,7,19,6,21,19,6,12,9,30,6,11,10,6,9,17,11,8,6,4,7,4,1,-,-,-,3,-,2,-,5
新生物_悪性新生物_膵,女,340,199,141,17,47,13,24,5,17,18,5,9,8,17,2,13,11,7,8,9,6,13,7,8,2,-,3,1,-,-,3,2,4,-,3
新生物_悪性新生物_喉頭,男,17,12,5,1,-,1,1,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
新生物_悪性新生物_喉頭,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新生物_悪性新生物_気管，気管支及び肺,男,1125,621,504,44,173,46,60,45,67,69,45,46,21,80,17,35,33,14,24,25,21,37,19,26,6,8,3,3,1,3,13,3,6,3,12
新生物_悪性新生物_気管，気管支及び肺,女,492,283,209,25,82,18,23,19,24,18,19,17,7,32,3,15,16,10,12,20,7,10,4,15,3,3,2,2,-,-,3,-,4,-,5
新生物_悪性新生物_皮膚,男,14,11,3,-,-,-,-,-,2,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
新生物_悪性新生物_皮膚,女,14,6,8,1,2,1,2,-,-,2,-,-,-,1,-,2,1,-,1,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-
新生物_悪性新生物_乳房,男,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
新生物_悪性新生物_乳房,女,263,142,121,15,53,7,22,3,11,10,3,8,3,17,3,13,13,6,8,13,2,3,6,3,1,1,3,4,-,-,4,-,3,-,4
新生物_悪性新生物_子宮,女,105,69,36,7,14,5,3,-,2,5,-,1,1,6,1,-,3,2,5,3,2,4,2,3,-,-,-,-,-,-,1,1,1,-,-
新生物_悪性新生物_卵巣,女,87,47,40,3,17,4,4,2,4,6,2,3,1,5,-,2,3,1,2,3,5,4,2,-,-,1,-,-,-,-,4,-,-,-,2
新生物_悪性新生物_前立腺,男,233,133,100,8,32,9,15,12,13,11,12,7,6,13,2,8,3,5,3,5,8,8,4,5,-,1,2,-,-,1,3,-,3,-,1
新生物_悪性新生物_膀胱,男,107,57,50,2,17,6,3,6,8,8,6,6,2,10,1,1,1,1,-,2,-,3,2,4,1,1,2,1,1,-,-,1,-,1,3
新生物_悪性新生物_膀胱,女,58,35,23,2,8,1,5,2,-,5,2,-,-,3,3,-,2,1,-,1,1,1,4,1,1,1,-,-,-,-,-,-,1,-,1
新生物_悪性新生物_中枢神経系,男,24,15,9,1,1,-,2,4,1,-,4,1,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
新生物_悪性新生物_中枢神経系,女,14,6,8,1,1,2,1,-,1,2,-,-,1,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,2
新生物_悪性新生物_悪性リンパ腫,男,132,66,66,9,31,3,5,3,10,5,3,9,1,19,1,1,5,3,3,3,3,1,1,2,3,1,-,-,-,-,1,-,3,1,2
新生物_悪性新生物_悪性リンパ腫,女,110,64,46,5,16,2,5,3,9,6,3,6,3,6,1,4,5,2,3,3,-,2,1,2,-,1,-,1,-,-,-,-,-,1,2
新生物_悪性新生物_白血病,男,73,35,38,1,17,4,7,2,4,3,2,4,-,7,1,5,3,1,-,4,2,2,-,3,-,1,-,-,-,-,1,-,2,-,-
新生物_悪性新生物_白血病,女,65,33,32,3,11,8,2,2,3,3,2,3,-,6,-,2,1,1,2,1,1,3,-,2,-,-,1,1,-,-,6,-,-,-,-
新生物_悪性新生物_その他のリンパ組織，造血組織及び関連組織,男,46,28,18,1,7,1,2,2,2,3,2,1,1,5,1,-,-,-,1,-,2,1,1,1,-,-,-,-,-,-,-,-,1,-,1
新生物_悪性新生物_その他のリンパ組織，造血組織及び関連組織,女,46,21,25,3,10,1,3,2,2,4,2,1,1,3,-,1,1,-,2,3,1,4,2,1,1,1,-,1,-,-,-,-,-,-,-
新生物_悪性新生物_その他の悪性新生物,男,293,165,128,13,44,9,18,11,20,13,11,15,5,23,3,10,7,5,7,7,6,5,8,5,1,-,1,-,-,1,3,-,-,-,5
新生物_悪性新生物_その他の悪性新生物,女,253,127,126,21,56,7,11,11,9,11,11,6,3,22,5,6,9,9,6,12,8,3,3,3,6,3,1,1,1,1,2,-,2,-,3
新生物_その他の新生物,男,103,52,51,5,20,5,5,2,4,10,2,2,2,10,1,2,4,1,2,3,3,7,1,3,2,-,-,-,1,-,1,-,2,-,2
新生物_その他の新生物,女,110,55,55,7,27,2,4,4,6,5,4,4,2,11,2,2,5,2,2,6,4,2,1,-,3,-,-,1,-,-,2,-,1,-,1
新生物_その他の新生物_中枢神経系のその他の新生物,男,18,8,10,-,6,-,1,-,1,2,-,-,1,4,-,1,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
新生物_その他の新生物_中枢神経系のその他の新生物,女,31,15,16,1,10,1,-,1,1,2,1,1,-,2,2,-,3,-,-,2,2,-,-,-,1,-,-,1,-,-,1,-,-,-,-
新生物_その他の新生物_中枢神経系を除くその他の新生物,男,85,44,41,5,14,5,4,2,3,8,2,2,1,6,1,1,2,1,2,3,3,5,1,3,2,-,-,-,1,-,1,-,2,-,2
新生物_その他の新生物_中枢神経系を除くその他の新生物,女,79,40,39,6,17,1,4,3,5,3,3,3,2,9,-,2,2,2,2,4,2,2,1,-,2,-,-,-,-,-,1,-,1,-,1
血液及び造血器の疾患並びに免疫機構の障害,男,45,24,21,6,5,1,2,1,4,2,1,-,4,2,-,2,1,1,4,1,1,2,-,1,1,-,-,-,-,-,-,-,-,-,-
血液及び造血器の疾患並びに免疫機構の障害,女,48,22,26,1,9,-,5,4,2,5,4,2,-,4,2,3,1,-,1,-,3,3,2,-,-,1,-,-,-,-,-,-,-,-,-
血液及び造血器の疾患並びに免疫機構の障害_貧血,男,15,8,7,3,3,-,-,-,-,1,-,-,-,2,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
血液及び造血器の疾患並びに免疫機構の障害_貧血,女,25,14,11,-,2,-,4,2,-,3,2,-,-,2,1,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
血液及び造血器の疾患並びに免疫機構の障害_その他の血液及び造血器の疾患並びに免疫機構の障害,男,30,16,14,3,2,1,2,1,4,1,1,-,4,-,-,2,1,1,1,1,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-
血液及び造血器の疾患並びに免疫機構の障害_その他の血液及び造血器の疾患並びに免疫機構の障害,女,23,8,15,1,7,-,1,2,2,2,2,2,-,2,1,1,1,-,1,-,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-
内分泌，栄養及び代謝疾患,男,173,96,77,7,32,8,8,5,7,10,5,6,1,12,1,7,9,2,4,5,3,7,1,4,1,2,-,1,-,1,3,-,-,1,1
内分泌，栄養及び代謝疾患,女,225,116,109,12,43,7,15,7,16,9,7,11,5,16,2,9,9,2,6,4,10,7,6,2,4,1,-,3,-,1,4,-,-,-,-
内分泌，栄養及び代謝疾患_糖尿病,男,118,64,54,5,22,6,6,2,5,8,2,5,-,7,1,5,6,1,3,3,3,5,1,3,1,2,-,1,-,1,2,-,-,1,1
内分泌，栄養及び代謝疾患_糖尿病,女,131,58,73,6,29,4,11,4,13,6,4,9,4,11,1,6,3,2,3,3,8,5,5,1,1,1,-,3,-,1,2,-,-,-,-
内分泌，栄養及び代謝疾患_その他の内分泌、栄養及び代謝疾患,男,55,32,23,2,10,2,2,3,2,2,3,1,1,5,-,2,3,1,1,2,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-
内分泌，栄養及び代謝疾患_その他の内分泌、栄養及び代謝疾患,女,94,58,36,6,14,3,4,3,3,3,3,2,1,5,1,3,6,-,3,1,2,2,1,1,3,-,-,-,-,-,2,-,-,-,-
精神及び行動の障害,男,87,53,34,6,11,2,3,4,5,3,4,1,4,3,1,-,2,4,1,1,2,1,3,1,1,1,1,1,-,-,1,-,-,-,1
精神及び行動の障害,女,183,96,87,8,16,9,14,13,11,16,13,4,7,7,7,3,4,5,1,-,3,3,5,4,2,1,-,1,2,-,3,-,6,-,6
精神及び行動の障害_血管性及び詳細不明の認知症,男,70,40,30,6,8,2,3,3,5,3,3,1,4,1,1,-,2,4,1,1,2,1,3,1,1,-,1,1,-,-,1,-,-,-,1
精神及び行動の障害_血管性及び詳細不明の認知症,女,159,84,75,7,11,8,12,13,10,14,13,3,7,3,7,2,4,4,1,-,2,3,4,4,2,1,-,1,2,-,2,-,6,-,4
精神及び行動の障害_その他の精神及び行動の障害,男,17,13,4,-,3,-,-,1,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
精神及び行動の障害_その他の精神及び行動の障害,女,24,12,12,1,5,1,2,-,1,2,-,1,-,4,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,2
神経系の疾患,男,300,162,138,19,43,8,18,11,18,21,11,11,7,20,3,8,11,8,9,6,5,13,9,4,2,1,-,-,-,1,3,-,1,1,4
神経系の疾患,女,390,219,171,24,58,17,10,17,15,30,17,12,3,27,7,7,13,5,14,5,10,13,2,11,5,1,-,2,-,2,4,-,1,3,7
神経系の疾患_髄膜炎,男,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
神経系の疾患_髄膜炎,女,3,1,2,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
神経系の疾患_脊髄性筋萎縮症及び関連症候群,男,31,13,18,3,5,2,-,2,1,5,2,-,1,3,1,-,1,2,1,1,-,3,-,-,-,-,-,-,-,-,2,-,-,-,1
神経系の疾患_脊髄性筋萎縮症及び関連症候群,女,23,11,12,3,4,1,-,2,1,1,2,1,-,3,-,-,-,-,3,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-
神経系の疾患_パーキンソン病,男,78,43,35,4,15,1,7,2,2,4,2,2,-,4,1,4,5,1,3,2,4,3,3,1,-,-,-,-,-,-,-,-,-,-,-
神経系の疾患_パーキンソン病,女,98,52,46,7,13,7,-,7,1,11,7,1,-,6,1,-,2,2,4,-,2,4,-,4,1,1,-,2,-,2,1,-,-,1,5
神経系の疾患_アルツハイマー病,男,63,36,27,6,9,3,-,1,5,3,1,4,1,6,1,-,2,2,3,1,-,2,-,2,1,-,-,-,-,-,1,-,-,-,-
神経系の疾患_アルツハイマー病,女,152,89,63,9,19,4,7,5,8,11,5,5,3,7,3,4,6,2,4,1,5,5,2,4,3,-,-,-,-,-,-,-,1,2,1
神経系の疾患_その他の神経系の疾患,男,125,67,58,6,14,2,11,6,10,9,6,5,5,7,-,4,3,3,2,2,1,5,6,1,1,1,-,-,-,1,-,-,1,1,3
神経系の疾患_その他の神経系の疾患,女,114,66,48,5,20,5,3,3,5,7,3,5,-,10,3,3,5,1,3,3,2,3,-,3,1,-,-,-,-,-,2,-,-,-,1
眼及び付属器の疾患,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
眼及び付属器の疾患,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
耳及び乳様突起の疾患,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
耳及び乳様突起の疾患,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
循環器系の疾患,男,3210,1755,1455,157,458,91,195,152,198,204,152,116,82,199,41,107,90,63,75,83,56,114,61,55,19,17,10,3,2,7,23,4,27,8,41
循環器系の疾患,女,3666,1976,1690,153,537,115,240,178,230,237,178,149,81,227,57,124,94,55,77,98,66,117,81,60,21,22,11,19,6,16,30,3,35,10,53
循環器系の疾患_高血圧性疾患,男,28,12,16,1,6,-,2,4,-,3,4,-,-,2,2,1,1,-,1,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1
循環器系の疾患_高血圧性疾患,女,65,33,32,-,9,2,7,1,8,5,1,6,2,4,2,3,2,-,-,1,2,2,3,-,-,-,-,-,-,-,2,-,1,-,1
循環器系の疾患_高血圧性疾患_高血圧性心疾患及び心腎疾患,男,15,8,7,-,4,-,1,2,-,-,2,-,-,1,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-
循環器系の疾患_高血圧性疾患_高血圧性心疾患及び心腎疾患,女,39,23,16,-,4,-,5,-,6,1,-,6,-,1,1,1,-,-,-,1,2,-,3,-,-,-,-,-,-,-,-,-,1,-,-
循環器系の疾患_高血圧性疾患_その他の高血圧性疾患,男,13,4,9,1,2,-,1,2,-,3,2,-,-,1,2,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
循環器系の疾患_高血圧性疾患_その他の高血圧性疾患,女,26,10,16,-,5,2,2,1,2,4,1,-,2,3,1,2,2,-,-,-,-,2,-,-,-,-,-,-,-,-,2,-,-,-,1
循環器系の疾患_心疾患(高血圧症を除く),男,1999,1101,898,102,286,55,131,82,121,121,82,72,49,129,19,69,51,39,47,58,31,73,42,32,16,10,6,1,2,5,16,-,20,6,23
循環器系の疾患_心疾患(高血圧症を除く),女,2299,1229,1070,103,352,66,162,100,147,140,100,101,46,147,36,83,55,40,49,72,41,68,55,34,14,15,9,13,4,8,19,1,24,6,30
循環器系の疾患_心疾患(高血圧症を除く)_慢性リウマチ性心疾患,男,15,9,6,-,1,-,1,2,2,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
循環器系の疾患_心疾患(高血圧症を除く)_慢性リウマチ性心疾患,女,31,19,12,-,4,-,3,1,3,1,1,1,2,1,-,-,2,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,1,-,-
循環器系の疾患_心疾患(高血圧症を除く)_急性心筋梗塞,男,299,161,138,16,37,6,10,11,38,20,11,32,6,14,1,5,6,9,5,9,7,14,4,4,2,-,1,-,-,1,1,-,1,-,5
循環器系の疾患_心疾患(高血圧症を除く)_急性心筋梗塞,女,261,145,116,6,33,1,11,11,37,17,11,34,3,12,3,5,6,3,2,8,3,11,3,1,1,-,2,2,-,-,-,-,3,-,3
循環器系の疾患_心疾患(高血圧症を除く)_その他の虚血性心疾患,男,760,439,321,45,97,10,77,37,33,22,37,13,20,65,7,44,15,15,22,3,5,7,21,5,8,7,2,-,1,1,3,-,12,1,7
循環器系の疾患_心疾患(高血圧症を除く)_その他の虚血性心疾患,女,535,286,249,42,72,8,56,28,22,21,28,7,15,47,11,25,12,19,18,4,2,2,20,5,5,3,2,2,-,2,1,-,11,-,8
循環器系の疾患_心疾患(高血圧症を除く)_慢性非リウマチ性心内膜疾患,男,55,32,23,3,7,1,5,1,3,3,1,-,3,2,-,2,2,1,2,2,-,1,3,1,-,1,-,-,-,-,-,-,-,-,2
循環器系の疾患_心疾患(高血圧症を除く)_慢性非リウマチ性心内膜疾患,女,157,81,76,7,24,3,8,14,9,11,14,6,3,11,3,3,3,4,1,2,1,4,5,2,2,7,-,-,1,-,-,-,-,1,3
循環器系の疾患_心疾患(高血圧症を除く)_心筋症,男,40,26,14,-,6,-,1,1,2,4,1,2,-,3,1,-,-,-,-,3,-,2,1,-,-,-,-,-,-,-,-,-,-,1,-
循環器系の疾患_心疾患(高血圧症を除く)_心筋症,女,26,12,14,-,7,2,1,2,1,1,2,1,-,3,-,-,1,-,-,2,-,1,1,2,-,1,-,-,-,-,-,-,-,-,-
循環器系の疾患_心疾患(高血圧症を除く)_不整脈及び伝導障害,男,182,91,91,11,27,11,7,7,15,13,7,7,8,11,3,5,10,3,7,2,4,8,2,5,1,-,-,-,-,2,4,-,-,-,2
循環器系の疾患_心疾患(高血圧症を除く)_不整脈及び伝導障害,女,246,130,116,6,38,13,15,13,17,14,13,13,4,17,2,8,8,1,5,5,4,6,5,5,-,2,1,1,1,3,4,-,2,3,3
循環器系の疾患_心疾患(高血圧症を除く)_心不全,男,609,322,287,27,98,27,28,22,28,57,22,18,10,25,7,12,15,11,11,38,14,39,11,17,5,2,3,1,1,1,8,-,5,4,7
循環器系の疾患_心疾患(高血圧症を除く)_心不全,女,1010,533,477,41,170,38,67,31,58,72,31,39,19,54,16,42,22,13,23,51,29,42,18,19,5,2,4,8,1,3,14,1,7,1,13
循環器系の疾患_心疾患(高血圧症を除く)_その他の心疾患,男,39,21,18,-,13,-,2,1,-,2,1,-,-,8,-,1,3,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,1,-,-
循環器系の疾患_心疾患(高血圧症を除く)_その他の心疾患,女,33,23,10,1,4,1,1,-,-,3,-,-,-,2,1,-,1,-,-,-,1,1,1,-,1,-,-,-,1,-,-,-,-,1,-
循環器系の疾患_脳血管疾患,男,982,521,461,41,144,30,51,59,65,71,59,38,27,63,17,32,28,16,23,22,21,36,13,19,2,5,3,2,-,1,6,4,6,2,16
循環器系の疾患_脳血管疾患,女,1102,583,519,40,157,42,61,71,66,82,71,35,31,63,16,33,34,11,23,24,22,43,20,22,6,6,2,6,2,7,9,2,8,4,19
循環器系の疾患_脳血管疾患_くも膜下出血,男,88,53,35,2,12,1,6,3,6,5,3,4,2,4,1,4,3,1,1,2,2,2,2,-,-,-,1,-,-,-,-,1,-,1,1
循環器系の疾患_脳血管疾患_くも膜下出血,女,123,72,51,2,24,3,5,9,4,4,9,2,2,11,-,2,5,2,-,4,2,3,1,2,-,2,-,-,-,-,1,-,2,1,-
循環器系の疾患_脳血管疾患_脳内出血,男,324,157,167,17,51,15,16,20,25,23,20,13,12,25,7,11,11,8,7,4,7,9,4,12,2,3,1,-,-,-,3,-,1,1,6
循環器系の疾患_脳血管疾患_脳内出血,女,295,154,141,8,39,8,27,19,19,21,19,13,6,13,4,17,9,1,7,6,6,14,9,5,-,1,1,3,-,-,1,2,1,-,3
