西暦,和暦,地域コード,地域,総数_建築物の数(むね),総数_床面積の合計(m2),総数_工事費予定額(万円),木造_建築物の数(むね),木造_床面積の合計(m2),木造_工事費予定額(万円),鉄骨鉄筋コンクリート造_建築物の数(むね),鉄骨鉄筋コンクリート造_床面積の合計(m2),鉄骨鉄筋コンクリート造_工事費予定額(万円),鉄筋コンクリート造_建築物の数(むね),鉄筋コンクリート造_床面積の合計(m2),鉄筋コンクリート造_工事費予定額(万円),鉄骨造_建築物の数(むね),鉄骨造_床面積の合計(m2),鉄骨造_工事費予定額(万円),コンクリートブロック造_建築物の数(むね),コンクリートブロック造_床面積の合計(m2),コンクリートブロック造_工事費予定額(万円),その他_建築物の数(むね),その他_床面積の合計(m2),その他_工事費予定額(万円)
2015年度,平成27年度,26201,福知山市,443,81457,1468995,288,36331,675667,-,-,-,3,4401,124000,125,39609,663771,4,220,1398,23,896,4159
2015年度,平成27年度,26202,舞鶴市,326,44048,801277,237,27327,477329,-,-,-,5,1913,73289,73,14486,248761,-,-,-,11,322,1898
2015年度,平成27年度,26203,綾部市,157,27955,462601,79,10115,177526,1,19,X,3,3082,78150,62,13846,198640,-,-,-,12,893,X
2015年度,平成27年度,26204,宇治市,717,142179,3524918,552,61954,989332,2,5611,X,23,42089,1712240,112,31598,651519,-,-,-,28,927,3827
2015年度,平成27年度,26205,宮津市,68,13661,205356,55,6022,X,-,-,-,1,44,X,12,7595,106604,-,-,-,-,-,-
2015年度,平成27年度,26206,亀岡市,407,67895,1240954,321,37163,609300,1,1767,X,4,4265,105236,74,24515,474017,2,53,X,5,132,1622
2015年度,平成27年度,26207,城陽市,342,61216,1012597,277,29377,495427,-,-,-,7,2628,77130,50,28751,436965,-,-,-,8,460,3075
2015年度,平成27年度,26208,向日市,329,100037,1907634,257,26998,465819,-,-,-,12,42406,646234,50,30341,794064,-,-,-,10,292,1517
2015年度,平成27年度,26209,長岡京市,355,77043,1665788,276,32432,542754,1,38,X,12,8227,213880,60,36171,906315,-,-,-,6,175,X
2015年度,平成27年度,26210,八幡市,266,42158,662609,208,23158,373408,-,-,-,11,277,2816,40,18362,285265,-,-,-,7,361,1120
2015年度,平成27年度,26211,京田辺市,412,80783,1378992,305,36335,621686,-,-,-,6,13509,218741,98,30896,538165,-,-,-,3,43,400
2015年度,平成27年度,26212,京丹後市,168,33135,551352,129,18898,314523,-,-,-,2,2762,X,33,11293,163807,1,30,X,3,152,1990
2015年度,平成27年度,26213,南丹市,116,23175,374952,74,10068,162196,-,-,-,1,4316,X,41,8791,X,-,-,-,-,-,-
2015年度,平成27年度,26214,木津川市,667,176634,6080909,508,60938,1008918,1,216,X,4,22708,385620,145,92562,4683036,1,25,X,8,185,600
2015年度,平成27年度,26303,乙訓郡大山崎町,125,16645,328660,95,9156,156291,-,-,-,3,2092,61500,21,5208,108724,-,-,-,6,189,2145
2015年度,平成27年度,26322,久世郡久御山町,108,21744,303983,68,7666,119196,-,-,-,-,-,-,37,14008,184407,1,16,X,2,54,X
2015年度,平成27年度,26343,綴喜郡井手町,30,7509,105451,24,2761,X,-,-,-,1,40,X,5,4708,57800,-,-,-,-,-,-
2015年度,平成27年度,26344,綴喜郡宇治田原町,41,10129,229715,31,3446,60965,-,-,-,1,27,X,6,6507,165600,-,-,-,3,149,X
2015年度,平成27年度,26364,相楽郡笠置町,1,59,X,-,-,-,-,-,-,-,-,-,1,59,X,-,-,-,-,-,-
2015年度,平成27年度,26365,相楽郡和束町,14,3525,49436,12,1935,30686,-,-,-,-,-,-,2,1590,X,-,-,-,-,-,-
2015年度,平成27年度,26366,相楽郡精華町,168,29821,488874,109,14091,233602,-,-,-,2,362,X,53,15064,240212,-,-,-,4,304,2660
2015年度,平成27年度,26367,相楽郡南山城村,3,457,6649,1,96,X,-,-,-,1,195,X,1,166,X,-,-,-,-,-,-
2015年度,平成27年度,26407,船井郡京丹波町,49,14313,303396,35,4669,92370,-,-,-,-,-,-,14,9644,211026,-,-,-,-,-,-
2015年度,平成27年度,26463,与謝郡伊根町,3,703,12220,3,703,12220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年度,平成27年度,26465,与謝郡与謝野町,71,8265,154384,59,7566,140084,-,-,-,2,62,X,8,583,13538,-,-,-,2,54,X
